name,area,carrier,type,parameter,year,value
PL biogas CHP flow 2022,PL,biogas CHP,outflow,flow,2022,1.2
PL biogas CHP flow 2023,PL,biogas CHP,outflow,flow,2023,1.3
PL biogas substrate supply max flow 2022,PL,biogas substrate supply,outflow,max flow,2022,66.0
PL biogas substrate supply max flow 2023,PL,biogas substrate supply,outflow,max flow,2023,66.0
PL biomass agriculture supply max flow 2022,PL,biomass agriculture supply,outflow,max flow,2022,83.0
PL biomass agriculture supply max flow 2023,PL,biomass agriculture supply,outflow,max flow,2023,83.0
PL biomass wood CHP flow 2022,PL,biomass wood CHP,outflow,flow,2022,3.6
PL biomass wood CHP flow 2023,PL,biomass wood CHP,outflow,flow,2023,3.6
PL biomass wood power flow 2022,PL,biomass wood power,outflow,flow,2022,1.9
PL biomass wood power flow 2023,PL,biomass wood power,outflow,flow,2023,2.2
PL biomass wood supply max flow 2022,PL,biomass wood supply,outflow,max flow,2022,50.0
PL biomass wood supply max flow 2023,PL,biomass wood supply,outflow,max flow,2023,50.0
PL electricity export flow 2022,PL,electricity export,inflow,flow,2022,16.9
PL electricity export flow 2023,PL,electricity export,inflow,flow,2023,11.4
PL electricity final use flow 2022,PL,electricity final use,inflow,flow,2022,160.4
PL electricity final use flow 2023,PL,electricity final use,inflow,flow,2023,154.3
PL electricity import flow 2022,PL,electricity import,outflow,flow,2022,15.2
PL electricity import flow 2023,PL,electricity import,outflow,flow,2023,15.1
PL hard coal CHP flow 2022,PL,hard coal CHP,outflow,flow,2022,16.1
PL hard coal CHP flow 2023,PL,hard coal CHP,outflow,flow,2023,14.4
PL hard coal power flow 2022,PL,hard coal power,outflow,flow,2022,54.7
PL hard coal power flow 2023,PL,hard coal power,outflow,flow,2023,44.3
PL hard coal supply max flow 2022,PL,hard coal supply,outflow,max flow,2022,500.0
PL hard coal supply max flow 2023,PL,hard coal supply,outflow,max flow,2023,500.0
PL hydro PSH power flow 2022,PL,hydro PSH power,outflow,flow,2022,1.1
PL hydro PSH power flow 2023,PL,hydro PSH power,outflow,flow,2023,1.3
PL hydro ROR flow 2022,PL,hydro ROR,outflow,flow,2022,2.0
PL hydro ROR flow 2023,PL,hydro ROR,outflow,flow,2023,2.4
PL lignite power flow 2022,PL,lignite power,outflow,flow,2022,41.2
PL lignite power flow 2023,PL,lignite power,outflow,flow,2023,30.1
PL lignite supply max flow 2022,PL,lignite supply,outflow,max flow,2022,300.0
PL lignite supply max flow 2023,PL,lignite supply,outflow,max flow,2023,300.0
PL natural gas CHP flow 2022,PL,natural gas CHP,outflow,flow,2022,11.3
PL natural gas CHP flow 2023,PL,natural gas CHP,outflow,flow,2023,15.7
PL natural gas supply max flow 2022,PL,natural gas supply,outflow,max flow,2022,200.0
PL natural gas supply max flow 2023,PL,natural gas supply,outflow,max flow,2023,200.0
PL other CHP flow 2022,PL,other CHP,outflow,flow,2022,2.6
PL other CHP flow 2023,PL,other CHP,outflow,flow,2023,2.4
PL other fuel supply max flow 2022,PL,other fuel supply,outflow,max flow,2022,50.0
PL other fuel supply max flow 2023,PL,other fuel supply,outflow,max flow,2023,50.0
PL solar PV ground flow 2022,PL,solar PV ground,outflow,flow,2022,2.5
PL solar PV ground flow 2023,PL,solar PV ground,outflow,flow,2023,4.6
PL solar PV roof flow 2022,PL,solar PV roof,outflow,flow,2022,5.7
PL solar PV roof flow 2023,PL,solar PV roof,outflow,flow,2023,6.8
PL wind onshore flow 2022,PL,wind onshore,outflow,flow,2022,19.8
PL wind onshore flow 2023,PL,wind onshore,outflow,flow,2023,23.2
