name,area,technology,qualifier,build_year,retire_year,cumulative,nom
PL battery large power 2021,PL,battery large power,,2021,2021,TRUE,50.0
PL battery large power 2022,PL,battery large power,,2022,2022,TRUE,100.0
PL battery large power 2023,PL,battery large power,,2023,2023,TRUE,150.0
PL battery large charger 2021,PL,battery large charger,,2021,2021,TRUE,50.0
PL battery large charger 2022,PL,battery large charger,,2022,2022,TRUE,90.0
PL battery large charger 2023,PL,battery large charger,,2023,2023,TRUE,140.0
PL battery large storage 2021,PL,battery large storage,,2021,2021,TRUE,200.0
PL battery large storage 2022,PL,battery large storage,,2022,2022,TRUE,400.0
PL battery large storage 2023,PL,battery large storage,,2023,2023,TRUE,600.0
PL biogas CHP industrial 2020,PL,biogas CHP,industrial,2020,2020,TRUE,60.0
PL biogas CHP industrial 2021,PL,biogas CHP,industrial,2021,2021,TRUE,60.0
PL biogas CHP industrial 2022,PL,biogas CHP,industrial,2022,2022,TRUE,70.0
PL biogas CHP industrial 2023,PL,biogas CHP,industrial,2023,2023,TRUE,70.0
PL biogas CHP public 2020,PL,biogas CHP,public,2020,2020,TRUE,180.0
PL biogas CHP public 2021,PL,biogas CHP,public,2021,2021,TRUE,190.0
PL biogas CHP public 2022,PL,biogas CHP,public,2022,2022,TRUE,200.0
PL biogas CHP public 2023,PL,biogas CHP,public,2023,2023,TRUE,210.0
PL biogas production industrial 2020,PL,biogas production,industrial,2020,2020,TRUE,150.0
PL biogas production industrial 2021,PL,biogas production,industrial,2021,2021,TRUE,150.0
PL biogas production industrial 2022,PL,biogas production,industrial,2022,2022,TRUE,180.0
PL biogas production industrial 2023,PL,biogas production,industrial,2023,2023,TRUE,180.0
PL biogas production public 2020,PL,biogas production,public,2020,2020,TRUE,440.0
PL biogas production public 2021,PL,biogas production,public,2021,2021,TRUE,470.0
PL biogas production public 2022,PL,biogas production,public,2022,2022,TRUE,490.0
PL biogas production public 2023,PL,biogas production,public,2023,2023,TRUE,520.0
PL biogas substrate supply 2020,PL,biogas substrate supply,,2020,2020,TRUE,inf
PL biogas substrate supply 2021,PL,biogas substrate supply,,2021,2021,TRUE,inf
PL biogas substrate supply 2022,PL,biogas substrate supply,,2022,2022,TRUE,inf
PL biogas substrate supply 2023,PL,biogas substrate supply,,2023,2023,TRUE,inf
PL biomass wood CHP industrial 2020,PL,biomass wood CHP,industrial,2020,2020,TRUE,190.0
PL biomass wood CHP industrial 2021,PL,biomass wood CHP,industrial,2021,2021,TRUE,190.0
PL biomass wood CHP industrial 2022,PL,biomass wood CHP,industrial,2022,2022,TRUE,200.0
PL biomass wood CHP industrial 2023,PL,biomass wood CHP,industrial,2023,2023,TRUE,200.0
PL biomass wood CHP public 2020,PL,biomass wood CHP,public,2020,2020,TRUE,260.0
PL biomass wood CHP public 2021,PL,biomass wood CHP,public,2021,2021,TRUE,270.0
PL biomass wood CHP public 2022,PL,biomass wood CHP,public,2022,2022,TRUE,260.0
PL biomass wood CHP public 2023,PL,biomass wood CHP,public,2023,2023,TRUE,260.0
PL biomass wood power public 2020,PL,biomass wood power,public,2020,2020,TRUE,430.0
PL biomass wood power public 2021,PL,biomass wood power,public,2021,2021,TRUE,430.0
PL biomass wood power public 2022,PL,biomass wood power,public,2022,2022,TRUE,430.0
PL biomass wood power public 2023,PL,biomass wood power,public,2023,2023,TRUE,400.0
PL biomass wood supply 2020,PL,biomass wood supply,,2020,2020,TRUE,inf
PL biomass wood supply 2021,PL,biomass wood supply,,2021,2021,TRUE,inf
PL biomass wood supply 2022,PL,biomass wood supply,,2022,2022,TRUE,inf
PL biomass wood supply 2023,PL,biomass wood supply,,2023,2023,TRUE,inf
PL electricity export AC 2020,PL,electricity export AC,,2020,2020,TRUE,5840.0
PL electricity export AC 2021,PL,electricity export AC,,2021,2021,TRUE,5840.0
PL electricity export AC 2022,PL,electricity export AC,,2022,2022,TRUE,5840.0
PL electricity export AC 2023,PL,electricity export AC,,2023,2023,TRUE,5840.0
PL electricity export DC 2020,PL,electricity export DC,,2020,2020,TRUE,1100.0
PL electricity export DC 2021,PL,electricity export DC,,2021,2021,TRUE,1100.0
PL electricity export DC 2022,PL,electricity export DC,,2022,2022,TRUE,1100.0
PL electricity export DC 2023,PL,electricity export DC,,2023,2023,TRUE,1100.0
PL electricity final use 2020,PL,electricity final use,,2020,2020,TRUE,inf
PL electricity final use 2021,PL,electricity final use,,2021,2021,TRUE,inf
PL electricity final use 2022,PL,electricity final use,,2022,2022,TRUE,inf
PL electricity final use 2023,PL,electricity final use,,2023,2023,TRUE,inf
PL electricity import AC 2020,PL,electricity import AC,,2020,2020,TRUE,4740.0
PL electricity import AC 2021,PL,electricity import AC,,2021,2021,TRUE,4740.0
PL electricity import AC 2022,PL,electricity import AC,,2022,2022,TRUE,4740.0
PL electricity import AC 2023,PL,electricity import AC,,2023,2023,TRUE,4740.0
PL electricity import DC 2020,PL,electricity import DC,,2020,2020,TRUE,1100.0
PL electricity import DC 2021,PL,electricity import DC,,2021,2021,TRUE,1100.0
PL electricity import DC 2022,PL,electricity import DC,,2022,2022,TRUE,1100.0
PL electricity import DC 2023,PL,electricity import DC,,2023,2023,TRUE,1100.0
PL hard coal CHP industrial 2020,PL,hard coal CHP,industrial,2020,2020,TRUE,950.0
PL hard coal CHP industrial 2021,PL,hard coal CHP,industrial,2021,2021,TRUE,960.0
PL hard coal CHP industrial 2022,PL,hard coal CHP,industrial,2022,2022,TRUE,1010.0
PL hard coal CHP industrial 2023,PL,hard coal CHP,industrial,2023,2023,TRUE,1030.0
PL hard coal CHP public 2020,PL,hard coal CHP,public,2020,2020,TRUE,4450.0
PL hard coal CHP public 2021,PL,hard coal CHP,public,2021,2021,TRUE,4680.0
PL hard coal CHP public 2022,PL,hard coal CHP,public,2022,2022,TRUE,4120.0
PL hard coal CHP public 2023,PL,hard coal CHP,public,2023,2023,TRUE,4120.0
PL hard coal power old public 2020,PL,hard coal power old,public,2020,2020,TRUE,13020.0
PL hard coal power old public 2021,PL,hard coal power old,public,2021,2021,TRUE,11940.0
PL hard coal power old public 2022,PL,hard coal power old,public,2022,2022,TRUE,11300.0
PL hard coal power old public 2023,PL,hard coal power old,public,2023,2023,TRUE,11300.0
PL hard coal power SC public 2020,PL,hard coal power SC,public,2020,2020,TRUE,4050.0
PL hard coal power SC public 2021,PL,hard coal power SC,public,2021,2021,TRUE,4050.0
