technology,carrier,aggregation,parent,bus_carrier,input_carrier,output_carrier,output2_carrier,component,color,order
electricity final use,electricity final use,electricity final use,,,electricity,,,Generator,#b6b6b7,1
space heating final use,space heating final use,heat final use,,,space heating,,,Generator,#b6b6b7,2
water heating final use,water heating final use,heat final use,,,water heating,,,Generator,#b6b6b7,3
other heating final use,other heating final use,heat final use,,,other heating,,,Generator,#b6b6b7,4
hard coal supply,hard coal supply,hard coal supply,,,,hard coal,,Generator,#b5c6cf,10
hard coal power old,hard coal power,hard coal power,,,hard coal,electricity,,Link,#b5c6cf,11
hard coal power SC,hard coal power,hard coal power,,,hard coal,electricity,,Link,#b5c6cf,12
hard coal CHP,hard coal CHP,hard coal power,,,hard coal,electricity,heat centralised,Link,#b5c6cf,13
hard coal heat,hard coal heat,hard coal heat,,,hard coal,heat centralised,,Link,#b5c6cf,14
lignite supply,lignite supply,lignite supply,,,,lignite,,Generator,#72a0b7,20
lignite power old,lignite power,lignite power,,,lignite,electricity,,Link,#72a0b7,21
lignite power SC,lignite power,lignite power,,,lignite,electricity,,Link,#72a0b7,22
natural gas supply,natural gas supply,natural gas supply,,,,natural gas,,Generator,#4b7689,30
natural gas power CCGT,natural gas power,natural gas power,,,natural gas,electricity,,Link,#4b7689,31
natural gas power peaker,natural gas power,natural gas power,,,natural gas,electricity,,Link,#4b7689,32
natural gas CHP old,natural gas CHP,natural gas CHP,,,natural gas,electricity,heat centralised,Link,#4b7689,33
natural gas CHP CCGT,natural gas CHP,natural gas CHP,,,natural gas,electricity,heat centralised,Link,#4b7689,34
natural gas heat,natural gas heat,natural gas heat,,,natural gas,heat centralised,,Link,#4b7689,35
other fuel supply,other fuel supply,other fuel supply,,,,other fuel,,Generator,#263b46,40
other CHP,other CHP,other CHP,,,other fuel,electricity,heat centralised,Link,#263b46,41
other heat,other heat,other heat,,,other fuel,heat centralised,,Link,#263b46,42
nuclear power large,nuclear power,nuclear power,,,,electricity,,Generator,#d6c0bd,51
biomass wood supply,biomass wood supply,biomass and biogas supply,,,,biomass wood,,Generator,#ab9d99,60
biomass wood power,biomass wood power,biomass power,,,biomass wood,electricity,,Link,#ab9d99,61
biomass wood CHP,biomass wood CHP,biomass and biogas CHP,,,biomass wood,electricity,heat centralised,Link,#ab9d99,62
biomass wood heat,biomass wood heat,biomass heat,,,biomass wood,heat centralised,,Link,#ab9d99,63
biomass agriculture supply,biomass agriculture supply,biomass and biogas supply,,,,biomass agriculture,,Generator,#ab9d99,70
biomass agriculture CHP,biomass agriculture CHP,biomass and biogas CHP,,,biomass agriculture,electricity,heat centralised,Link,#ab9d99,71
biomass agriculture heat,biomass agriculture heat,biomass heat,,,biomass agriculture,heat centralised,,Link,#ab9d99,72
biogas substrate supply,biogas substrate supply,biomass and biogas supply,,,,biogas substrate,,Generator,#816d66,80
biogas production,biogas production,biomass and biogas supply,,,biogas substrate,biogas,,Link,#816d66,81
biogas CHP,biogas CHP,biomass and biogas CHP,,,biogas,electricity,heat centralised,Link,#816d66,82
wind onshore old,wind onshore,wind onshore,,,,electricity,,Generator,#69f0ae,100
wind onshore,wind onshore,wind onshore,,,,electricity,,Generator,#69f0ae,101
wind offshore,wind offshore,wind offshore,,,,electricity,,Generator,#b9f6ca,102
solar PV ground,solar PV ground,solar PV ground,,,,electricity,,Generator,#f3b3fd,111
