technology,parameter,technology_year,value
DSR reduction,variable_cost,2015,10000.0
DSR reduction,variable_cost,2020,10000.0
DSR reduction,variable_cost,2025,10000.0
DSR reduction,variable_cost,2030,10000.0
DSR reduction,variable_cost,2035,10000.0
DSR reduction,variable_cost,2040,10000.0
DSR reduction,variable_cost,2045,10000.0
DSR reduction,variable_cost,2050,10000.0
battery large power,efficiency,2015,1.0
battery large power,efficiency,2020,1.0
battery large power,efficiency,2025,1.0
battery large power,efficiency,2030,1.0
battery large power,efficiency,2035,1.0
battery large power,efficiency,2040,1.0
battery large power,efficiency,2045,1.0
battery large power,efficiency,2050,1.0
battery large power,fixed_cost,2015,3400.0
battery large power,fixed_cost,2020,3400.0
battery large power,fixed_cost,2025,3400.0
battery large power,fixed_cost,2030,3400.0
battery large power,fixed_cost,2035,3400.0
battery large power,fixed_cost,2040,3400.0
battery large power,fixed_cost,2045,3400.0
battery large power,fixed_cost,2050,3400.0
battery large power,investment_cost,2015,1800000.0
battery large power,investment_cost,2020,1700000.0
battery large power,investment_cost,2025,1400000.0
battery large power,investment_cost,2030,1000000.0
battery large power,investment_cost,2035,820000.0
battery large power,investment_cost,2040,630000.0
battery large power,investment_cost,2045,510000.0
battery large power,investment_cost,2050,380000.0
battery large power,lifetime,2015,20.0
battery large power,lifetime,2020,20.0
battery large power,lifetime,2025,20.0
battery large power,lifetime,2030,20.0
battery large power,lifetime,2035,20.0
battery large power,lifetime,2040,20.0
battery large power,lifetime,2045,20.0
battery large power,lifetime,2050,20.0
battery large charger,lifetime,2015,20.0
battery large charger,lifetime,2020,20.0
battery large charger,lifetime,2025,20.0
battery large charger,lifetime,2030,20.0
battery large charger,lifetime,2035,20.0
battery large charger,lifetime,2040,20.0
battery large charger,lifetime,2045,20.0
battery large charger,lifetime,2050,20.0
battery large power,p_max_pu_annual,2015,0.99
battery large power,p_max_pu_annual,2020,0.99
battery large power,p_max_pu_annual,2025,0.99
battery large power,p_max_pu_annual,2030,0.99
