hour,PL
2012-03-09 00:00:00,0.0
2012-03-09 01:00:00,0.0
2012-03-09 02:00:00,0.0
2012-03-09 03:00:00,0.0
2012-03-09 04:00:00,0.0
2012-03-09 05:00:00,0.0
2012-03-09 06:00:00,0.004
2012-03-09 07:00:00,0.103
2012-03-09 08:00:00,0.28
2012-03-09 09:00:00,0.398
2012-03-09 10:00:00,0.473
2012-03-09 11:00:00,0.514
2012-03-09 12:00:00,0.508
2012-03-09 13:00:00,0.438
2012-03-09 14:00:00,0.373
2012-03-09 15:00:00,0.282
2012-03-09 16:00:00,0.153
2012-03-09 17:00:00,0.008
2012-03-09 18:00:00,0.0
2012-03-09 19:00:00,0.0
2012-03-09 20:00:00,0.0
2012-03-09 21:00:00,0.0
2012-03-09 22:00:00,0.0
2012-03-09 23:00:00,0.0
2012-03-10 00:00:00,0.0
2012-03-10 01:00:00,0.0
2012-03-10 02:00:00,0.0
2012-03-10 03:00:00,0.0
2012-03-10 04:00:00,0.0
2012-03-10 05:00:00,0.0
2012-03-10 06:00:00,0.002
2012-03-10 07:00:00,0.054
2012-03-10 08:00:00,0.16
2012-03-10 09:00:00,0.241
2012-03-10 10:00:00,0.284
2012-03-10 11:00:00,0.303
2012-03-10 12:00:00,0.313
2012-03-10 13:00:00,0.275
2012-03-10 14:00:00,0.274
2012-03-10 15:00:00,0.229
2012-03-10 16:00:00,0.145
2012-03-10 17:00:00,0.017
2012-03-10 18:00:00,0.0
2012-03-10 19:00:00,0.0
2012-03-10 20:00:00,0.0
2012-03-10 21:00:00,0.0
2012-03-10 22:00:00,0.0
2012-03-10 23:00:00,0.0
2012-03-11 00:00:00,0.0
2012-03-11 01:00:00,0.0
2012-03-11 02:00:00,0.0
2012-03-11 03:00:00,0.0
2012-03-11 04:00:00,0.0
2012-03-11 05:00:00,0.0
2012-03-11 06:00:00,0.003
2012-03-11 07:00:00,0.048
2012-03-11 08:00:00,0.141
2012-03-11 09:00:00,0.219
2012-03-11 10:00:00,0.252
2012-03-11 11:00:00,0.235
2012-03-11 12:00:00,0.218
2012-03-11 13:00:00,0.171
2012-03-11 14:00:00,0.146
2012-03-11 15:00:00,0.096
2012-03-11 16:00:00,0.057
2012-03-11 17:00:00,0.008
2012-03-11 18:00:00,0.0
2012-03-11 19:00:00,0.0
2012-03-11 20:00:00,0.0
2012-03-11 21:00:00,0.0
2012-03-11 22:00:00,0.0
2012-03-11 23:00:00,0.0
2012-03-12 00:00:00,0.0
2012-03-12 01:00:00,0.0
2012-03-12 02:00:00,0.0
2012-03-12 03:00:00,0.0
2012-03-12 04:00:00,0.0
2012-03-12 05:00:00,0.0
2012-03-12 06:00:00,0.005
2012-03-12 07:00:00,0.081
2012-03-12 08:00:00,0.239
2012-03-12 09:00:00,0.374
2012-03-12 10:00:00,0.488
2012-03-12 11:00:00,0.548
2012-03-12 12:00:00,0.55
2012-03-12 13:00:00,0.473
2012-03-12 14:00:00,0.424
2012-03-12 15:00:00,0.336
2012-03-12 16:00:00,0.214
2012-03-12 17:00:00,0.027
2012-03-12 18:00:00,0.0
2012-03-12 19:00:00,0.0
2012-03-12 20:00:00,0.0
2012-03-12 21:00:00,0.0
2012-03-12 22:00:00,0.0
2012-03-12 23:00:00,0.0
2012-03-13 00:00:00,0.0
2012-03-13 01:00:00,0.0
2012-03-13 02:00:00,0.0
2012-03-13 03:00:00,0.0
2012-03-13 04:00:00,0.0
2012-03-13 05:00:00,0.0
2012-03-13 06:00:00,0.005
2012-03-13 07:00:00,0.066
2012-03-13 08:00:00,0.142
2012-03-13 09:00:00,0.183
2012-03-13 10:00:00,0.187
2012-03-13 11:00:00,0.15
2012-03-13 12:00:00,0.136
2012-03-13 13:00:00,0.099
2012-03-13 14:00:00,0.095
2012-03-13 15:00:00,0.079
2012-03-13 16:00:00,0.057
2012-03-13 17:00:00,0.009
2012-03-13 18:00:00,0.0
2012-03-13 19:00:00,0.0
2012-03-13 20:00:00,0.0
2012-03-13 21:00:00,0.0
2012-03-13 22:00:00,0.0
2012-03-13 23:00:00,0.0
2012-03-14 00:00:00,0.0
2012-03-14 01:00:00,0.0
2012-03-14 02:00:00,0.0
2012-03-14 03:00:00,0.0
2012-03-14 04:00:00,0.0
2012-03-14 05:00:00,0.0
2012-03-14 06:00:00,0.002
2012-03-14 07:00:00,0.039
2012-03-14 08:00:00,0.109
2012-03-14 09:00:00,0.158
2012-03-14 10:00:00,0.181
2012-03-14 11:00:00,0.195
2012-03-14 12:00:00,0.221
2012-03-14 13:00:00,0.193
2012-03-14 14:00:00,0.174
2012-03-14 15:00:00,0.126
2012-03-14 16:00:00,0.07
2012-03-14 17:00:00,0.007
2012-03-14 18:00:00,0.0
2012-03-14 19:00:00,0.0
2012-03-14 20:00:00,0.0
2012-03-14 21:00:00,0.0
2012-03-14 22:00:00,0.0
2012-03-14 23:00:00,0.0
2012-03-15 00:00:00,0.0
2012-03-15 01:00:00,0.0
2012-03-15 02:00:00,0.0
2012-03-15 03:00:00,0.0
2012-03-15 04:00:00,0.0
2012-03-15 05:00:00,0.0
2012-03-15 06:00:00,0.002
2012-03-15 07:00:00,0.046
2012-03-15 08:00:00,0.12
2012-03-15 09:00:00,0.171
2012-03-15 10:00:00,0.202
2012-03-15 11:00:00,0.216
2012-03-15 12:00:00,0.237
2012-03-15 13:00:00,0.22
2012-03-15 14:00:00,0.214
2012-03-15 15:00:00,0.183
2012-03-15 16:00:00,0.129
2012-03-15 17:00:00,0.018
2012-03-15 18:00:00,0.0
2012-03-15 19:00:00,0.0
2012-03-15 20:00:00,0.0
2012-03-15 21:00:00,0.0
2012-03-15 22:00:00,0.0
2012-03-15 23:00:00,0.0
2012-05-14 00:00:00,0.0
2012-05-14 01:00:00,0.0
2012-05-14 02:00:00,0.0
2012-05-14 03:00:00,0.0
2012-05-14 04:00:00,0.002
2012-05-14 05:00:00,0.022
2012-05-14 06:00:00,0.103
2012-05-14 07:00:00,0.216
2012-05-14 08:00:00,0.288
2012-05-14 09:00:00,0.318
2012-05-14 10:00:00,0.328
2012-05-14 11:00:00,0.276
2012-05-14 12:00:00,0.293
2012-05-14 13:00:00,0.278
2012-05-14 14:00:00,0.258
2012-05-14 15:00:00,0.219
2012-05-14 16:00:00,0.21
2012-05-14 17:00:00,0.136
2012-05-14 18:00:00,0.046
2012-05-14 19:00:00,0.001
2012-05-14 20:00:00,0.0
2012-05-14 21:00:00,0.0
2012-05-14 22:00:00,0.0
2012-05-14 23:00:00,0.0
2012-05-15 00:00:00,0.0
2012-05-15 01:00:00,0.0
2012-05-15 02:00:00,0.0
2012-05-15 03:00:00,0.0
2012-05-15 04:00:00,0.002
2012-05-15 05:00:00,0.046
2012-05-15 06:00:00,0.19
2012-05-15 07:00:00,0.362
2012-05-15 08:00:00,0.492
2012-05-15 09:00:00,0.528
2012-05-15 10:00:00,0.489
2012-05-15 11:00:00,0.416
2012-05-15 12:00:00,0.399
2012-05-15 13:00:00,0.382
2012-05-15 14:00:00,0.354
2012-05-15 15:00:00,0.308
2012-05-15 16:00:00,0.261
2012-05-15 17:00:00,0.158
2012-05-15 18:00:00,0.048
2012-05-15 19:00:00,0.002
2012-05-15 20:00:00,0.0
2012-05-15 21:00:00,0.0
2012-05-15 22:00:00,0.0
2012-05-15 23:00:00,0.0
2012-05-16 00:00:00,0.0
2012-05-16 01:00:00,0.0
2012-05-16 02:00:00,0.0
2012-05-16 03:00:00,0.0
2012-05-16 04:00:00,0.001
2012-05-16 05:00:00,0.007
2012-05-16 06:00:00,0.048
2012-05-16 07:00:00,0.153
2012-05-16 08:00:00,0.265
2012-05-16 09:00:00,0.347
2012-05-16 10:00:00,0.343
2012-05-16 11:00:00,0.262
2012-05-16 12:00:00,0.251
2012-05-16 13:00:00,0.233
2012-05-16 14:00:00,0.194
2012-05-16 15:00:00,0.159
2012-05-16 16:00:00,0.134
2012-05-16 17:00:00,0.087
2012-05-16 18:00:00,0.031
2012-05-16 19:00:00,0.002
2012-05-16 20:00:00,0.0
2012-05-16 21:00:00,0.0
2012-05-16 22:00:00,0.0
2012-05-16 23:00:00,0.0
2012-05-17 00:00:00,0.0
2012-05-17 01:00:00,0.0
2012-05-17 02:00:00,0.0
2012-05-17 03:00:00,0.0
2012-05-17 04:00:00,0.003
2012-05-17 05:00:00,0.02
2012-05-17 06:00:00,0.072
2012-05-17 07:00:00,0.132
2012-05-17 08:00:00,0.18
2012-05-17 09:00:00,0.211
2012-05-17 10:00:00,0.222
2012-05-17 11:00:00,0.219
2012-05-17 12:00:00,0.232
2012-05-17 13:00:00,0.225
2012-05-17 14:00:00,0.21
2012-05-17 15:00:00,0.183
2012-05-17 16:00:00,0.158
2012-05-17 17:00:00,0.1
2012-05-17 18:00:00,0.032
2012-05-17 19:00:00,0.003
2012-05-17 20:00:00,0.0
2012-05-17 21:00:00,0.0
2012-05-17 22:00:00,0.0
2012-05-17 23:00:00,0.0
2012-05-18 00:00:00,0.0
2012-05-18 01:00:00,0.0
2012-05-18 02:00:00,0.0
2012-05-18 03:00:00,0.0
2012-05-18 04:00:00,0.003
2012-05-18 05:00:00,0.027
2012-05-18 06:00:00,0.105
2012-05-18 07:00:00,0.217
2012-05-18 08:00:00,0.31
2012-05-18 09:00:00,0.382
2012-05-18 10:00:00,0.432
2012-05-18 11:00:00,0.428
2012-05-18 12:00:00,0.426
2012-05-18 13:00:00,0.404
2012-05-18 14:00:00,0.367
2012-05-18 15:00:00,0.316
2012-05-18 16:00:00,0.264
2012-05-18 17:00:00,0.168
2012-05-18 18:00:00,0.052
2012-05-18 19:00:00,0.004
2012-05-18 20:00:00,0.0
2012-05-18 21:00:00,0.0
2012-05-18 22:00:00,0.0
2012-05-18 23:00:00,0.0
2012-05-19 00:00:00,0.0
2012-05-19 01:00:00,0.0
2012-05-19 02:00:00,0.0
2012-05-19 03:00:00,0.0
2012-05-19 04:00:00,0.004
2012-05-19 05:00:00,0.054
2012-05-19 06:00:00,0.208
2012-05-19 07:00:00,0.378
2012-05-19 08:00:00,0.488
2012-05-19 09:00:00,0.553
2012-05-19 10:00:00,0.601
2012-05-19 11:00:00,0.621
2012-05-19 12:00:00,0.626
2012-05-19 13:00:00,0.594
2012-05-19 14:00:00,0.526
2012-05-19 15:00:00,0.438
2012-05-19 16:00:00,0.331
2012-05-19 17:00:00,0.182
2012-05-19 18:00:00,0.049
2012-05-19 19:00:00,0.004
2012-05-19 20:00:00,0.0
2012-05-19 21:00:00,0.0
2012-05-19 22:00:00,0.0
2012-05-19 23:00:00,0.0
2012-05-20 00:00:00,0.0
2012-05-20 01:00:00,0.0
2012-05-20 02:00:00,0.0
2012-05-20 03:00:00,0.0
2012-05-20 04:00:00,0.005
2012-05-20 05:00:00,0.046
2012-05-20 06:00:00,0.177
2012-05-20 07:00:00,0.338
2012-05-20 08:00:00,0.461
2012-05-20 09:00:00,0.572
2012-05-20 10:00:00,0.664
2012-05-20 11:00:00,0.697
2012-05-20 12:00:00,0.683
2012-05-20 13:00:00,0.633
2012-05-20 14:00:00,0.554
2012-05-20 15:00:00,0.464
2012-05-20 16:00:00,0.355
2012-05-20 17:00:00,0.196
2012-05-20 18:00:00,0.049
2012-05-20 19:00:00,0.005
2012-05-20 20:00:00,0.0
2012-05-20 21:00:00,0.0
2012-05-20 22:00:00,0.0
2012-05-20 23:00:00,0.0
