hour,PL
2015-03-01 00:00:00,0.0
2015-03-01 01:00:00,0.0
2015-03-01 02:00:00,0.0
2015-03-01 03:00:00,0.0
2015-03-01 04:00:00,0.0
2015-03-01 05:00:00,0.0
2015-03-01 06:00:00,0.0
2015-03-01 07:00:00,0.034
2015-03-01 08:00:00,0.189
2015-03-01 09:00:00,0.313
2015-03-01 10:00:00,0.396
2015-03-01 11:00:00,0.421
2015-03-01 12:00:00,0.403
2015-03-01 13:00:00,0.333
2015-03-01 14:00:00,0.253
2015-03-01 15:00:00,0.17
2015-03-01 16:00:00,0.075
2015-03-01 17:00:00,0.002
2015-03-01 18:00:00,0.0
2015-03-01 19:00:00,0.0
2015-03-01 20:00:00,0.0
2015-03-01 21:00:00,0.0
2015-03-01 22:00:00,0.0
2015-03-01 23:00:00,0.0
2015-03-02 00:00:00,0.0
2015-03-02 01:00:00,0.0
2015-03-02 02:00:00,0.0
2015-03-02 03:00:00,0.0
2015-03-02 04:00:00,0.0
2015-03-02 05:00:00,0.0
2015-03-02 06:00:00,0.0
2015-03-02 07:00:00,0.04
2015-03-02 08:00:00,0.133
2015-03-02 09:00:00,0.181
2015-03-02 10:00:00,0.203
2015-03-02 11:00:00,0.207
2015-03-02 12:00:00,0.192
2015-03-02 13:00:00,0.17
2015-03-02 14:00:00,0.146
2015-03-02 15:00:00,0.124
2015-03-02 16:00:00,0.084
2015-03-02 17:00:00,0.002
2015-03-02 18:00:00,0.0
2015-03-02 19:00:00,0.0
2015-03-02 20:00:00,0.0
2015-03-02 21:00:00,0.0
2015-03-02 22:00:00,0.0
2015-03-02 23:00:00,0.0
2015-03-03 00:00:00,0.0
2015-03-03 01:00:00,0.0
2015-03-03 02:00:00,0.0
2015-03-03 03:00:00,0.0
2015-03-03 04:00:00,0.0
2015-03-03 05:00:00,0.0
2015-03-03 06:00:00,0.0
2015-03-03 07:00:00,0.04
2015-03-03 08:00:00,0.128
2015-03-03 09:00:00,0.186
2015-03-03 10:00:00,0.2
2015-03-03 11:00:00,0.19
2015-03-03 12:00:00,0.208
2015-03-03 13:00:00,0.206
2015-03-03 14:00:00,0.205
2015-03-03 15:00:00,0.189
2015-03-03 16:00:00,0.126
2015-03-03 17:00:00,0.005
2015-03-03 18:00:00,0.0
2015-03-03 19:00:00,0.0
2015-03-03 20:00:00,0.0
2015-03-03 21:00:00,0.0
2015-03-03 22:00:00,0.0
2015-03-03 23:00:00,0.0
2015-03-04 00:00:00,0.0
2015-03-04 01:00:00,0.0
2015-03-04 02:00:00,0.0
2015-03-04 03:00:00,0.0
2015-03-04 04:00:00,0.0
2015-03-04 05:00:00,0.0
2015-03-04 06:00:00,0.0
2015-03-04 07:00:00,0.03
2015-03-04 08:00:00,0.114
2015-03-04 09:00:00,0.169
2015-03-04 10:00:00,0.2
2015-03-04 11:00:00,0.227
2015-03-04 12:00:00,0.241
2015-03-04 13:00:00,0.21
2015-03-04 14:00:00,0.243
2015-03-04 15:00:00,0.22
2015-03-04 16:00:00,0.141
2015-03-04 17:00:00,0.006
2015-03-04 18:00:00,0.0
2015-03-04 19:00:00,0.0
2015-03-04 20:00:00,0.0
2015-03-04 21:00:00,0.0
2015-03-04 22:00:00,0.0
2015-03-04 23:00:00,0.0
2015-03-05 00:00:00,0.0
2015-03-05 01:00:00,0.0
2015-03-05 02:00:00,0.0
2015-03-05 03:00:00,0.0
2015-03-05 04:00:00,0.0
2015-03-05 05:00:00,0.0
2015-03-05 06:00:00,0.001
2015-03-05 07:00:00,0.056
2015-03-05 08:00:00,0.179
2015-03-05 09:00:00,0.241
2015-03-05 10:00:00,0.247
2015-03-05 11:00:00,0.236
2015-03-05 12:00:00,0.232
2015-03-05 13:00:00,0.159
2015-03-05 14:00:00,0.183
2015-03-05 15:00:00,0.161
2015-03-05 16:00:00,0.107
2015-03-05 17:00:00,0.004
2015-03-05 18:00:00,0.0
2015-03-05 19:00:00,0.0
2015-03-05 20:00:00,0.0
2015-03-05 21:00:00,0.0
2015-03-05 22:00:00,0.0
2015-03-05 23:00:00,0.0
2015-03-06 00:00:00,0.0
2015-03-06 01:00:00,0.0
2015-03-06 02:00:00,0.0
2015-03-06 03:00:00,0.0
2015-03-06 04:00:00,0.0
2015-03-06 05:00:00,0.0
2015-03-06 06:00:00,0.002
2015-03-06 07:00:00,0.052
2015-03-06 08:00:00,0.181
2015-03-06 09:00:00,0.267
2015-03-06 10:00:00,0.292
2015-03-06 11:00:00,0.271
2015-03-06 12:00:00,0.28
2015-03-06 13:00:00,0.2
2015-03-06 14:00:00,0.232
2015-03-06 15:00:00,0.188
2015-03-06 16:00:00,0.109
2015-03-06 17:00:00,0.004
2015-03-06 18:00:00,0.0
2015-03-06 19:00:00,0.0
2015-03-06 20:00:00,0.0
2015-03-06 21:00:00,0.0
2015-03-06 22:00:00,0.0
2015-03-06 23:00:00,0.0
2015-03-07 00:00:00,0.0
2015-03-07 01:00:00,0.0
2015-03-07 02:00:00,0.0
2015-03-07 03:00:00,0.0
2015-03-07 04:00:00,0.0
2015-03-07 05:00:00,0.0
2015-03-07 06:00:00,0.002
2015-03-07 07:00:00,0.059
2015-03-07 08:00:00,0.196
2015-03-07 09:00:00,0.3
2015-03-07 10:00:00,0.364
2015-03-07 11:00:00,0.382
2015-03-07 12:00:00,0.385
2015-03-07 13:00:00,0.305
2015-03-07 14:00:00,0.301
2015-03-07 15:00:00,0.244
2015-03-07 16:00:00,0.139
2015-03-07 17:00:00,0.008
2015-03-07 18:00:00,0.0
2015-03-07 19:00:00,0.0
2015-03-07 20:00:00,0.0
2015-03-07 21:00:00,0.0
2015-03-07 22:00:00,0.0
2015-03-07 23:00:00,0.0
2015-05-25 00:00:00,0.0
2015-05-25 01:00:00,0.0
2015-05-25 02:00:00,0.0
2015-05-25 03:00:00,0.0
2015-05-25 04:00:00,0.005
2015-05-25 05:00:00,0.025
2015-05-25 06:00:00,0.096
2015-05-25 07:00:00,0.203
2015-05-25 08:00:00,0.3
2015-05-25 09:00:00,0.358
2015-05-25 10:00:00,0.37
2015-05-25 11:00:00,0.342
2015-05-25 12:00:00,0.32
2015-05-25 13:00:00,0.282
2015-05-25 14:00:00,0.239
2015-05-25 15:00:00,0.205
2015-05-25 16:00:00,0.162
2015-05-25 17:00:00,0.096
2015-05-25 18:00:00,0.035
2015-05-25 19:00:00,0.005
2015-05-25 20:00:00,0.0
2015-05-25 21:00:00,0.0
2015-05-25 22:00:00,0.0
2015-05-25 23:00:00,0.0
2015-05-26 00:00:00,0.0
2015-05-26 01:00:00,0.0
2015-05-26 02:00:00,0.0
2015-05-26 03:00:00,0.0
2015-05-26 04:00:00,0.007
2015-05-26 05:00:00,0.014
2015-05-26 06:00:00,0.056
2015-05-26 07:00:00,0.144
2015-05-26 08:00:00,0.234
2015-05-26 09:00:00,0.298
2015-05-26 10:00:00,0.319
2015-05-26 11:00:00,0.295
2015-05-26 12:00:00,0.278
2015-05-26 13:00:00,0.251
2015-05-26 14:00:00,0.215
2015-05-26 15:00:00,0.173
2015-05-26 16:00:00,0.13
2015-05-26 17:00:00,0.081
2015-05-26 18:00:00,0.033
2015-05-26 19:00:00,0.006
2015-05-26 20:00:00,0.0
2015-05-26 21:00:00,0.0
2015-05-26 22:00:00,0.0
2015-05-26 23:00:00,0.0
2015-05-27 00:00:00,0.0
2015-05-27 01:00:00,0.0
2015-05-27 02:00:00,0.0
2015-05-27 03:00:00,0.0
2015-05-27 04:00:00,0.008
2015-05-27 05:00:00,0.031
2015-05-27 06:00:00,0.115
2015-05-27 07:00:00,0.217
2015-05-27 08:00:00,0.263
2015-05-27 09:00:00,0.264
2015-05-27 10:00:00,0.264
2015-05-27 11:00:00,0.247
2015-05-27 12:00:00,0.259
2015-05-27 13:00:00,0.251
2015-05-27 14:00:00,0.215
2015-05-27 15:00:00,0.191
2015-05-27 16:00:00,0.168
2015-05-27 17:00:00,0.114
2015-05-27 18:00:00,0.048
2015-05-27 19:00:00,0.005
2015-05-27 20:00:00,0.0
2015-05-27 21:00:00,0.0
2015-05-27 22:00:00,0.0
2015-05-27 23:00:00,0.0
2015-05-28 00:00:00,0.0
2015-05-28 01:00:00,0.0
2015-05-28 02:00:00,0.0
2015-05-28 03:00:00,0.0
2015-05-28 04:00:00,0.008
2015-05-28 05:00:00,0.028
2015-05-28 06:00:00,0.13
2015-05-28 07:00:00,0.272
2015-05-28 08:00:00,0.374
2015-05-28 09:00:00,0.402
2015-05-28 10:00:00,0.397
2015-05-28 11:00:00,0.387
2015-05-28 12:00:00,0.416
2015-05-28 13:00:00,0.421
2015-05-28 14:00:00,0.396
2015-05-28 15:00:00,0.363
2015-05-28 16:00:00,0.298
2015-05-28 17:00:00,0.188
2015-05-28 18:00:00,0.059
2015-05-28 19:00:00,0.008
2015-05-28 20:00:00,0.0
2015-05-28 21:00:00,0.0
2015-05-28 22:00:00,0.0
2015-05-28 23:00:00,0.0
2015-05-29 00:00:00,0.0
2015-05-29 01:00:00,0.0
2015-05-29 02:00:00,0.0
2015-05-29 03:00:00,0.0
2015-05-29 04:00:00,0.008
2015-05-29 05:00:00,0.048
2015-05-29 06:00:00,0.182
2015-05-29 07:00:00,0.335
2015-05-29 08:00:00,0.455
2015-05-29 09:00:00,0.555
2015-05-29 10:00:00,0.619
2015-05-29 11:00:00,0.622
2015-05-29 12:00:00,0.555
2015-05-29 13:00:00,0.498
2015-05-29 14:00:00,0.444
2015-05-29 15:00:00,0.39
2015-05-29 16:00:00,0.305
2015-05-29 17:00:00,0.178
2015-05-29 18:00:00,0.06
2015-05-29 19:00:00,0.009
2015-05-29 20:00:00,0.0
2015-05-29 21:00:00,0.0
2015-05-29 22:00:00,0.0
2015-05-29 23:00:00,0.0
2015-05-30 00:00:00,0.0
2015-05-30 01:00:00,0.0
2015-05-30 02:00:00,0.0
2015-05-30 03:00:00,0.0
2015-05-30 04:00:00,0.01
2015-05-30 05:00:00,0.037
2015-05-30 06:00:00,0.144
2015-05-30 07:00:00,0.287
2015-05-30 08:00:00,0.398
2015-05-30 09:00:00,0.478
2015-05-30 10:00:00,0.543
2015-05-30 11:00:00,0.536
2015-05-30 12:00:00,0.497
2015-05-30 13:00:00,0.439
2015-05-30 14:00:00,0.384
2015-05-30 15:00:00,0.334
2015-05-30 16:00:00,0.25
2015-05-30 17:00:00,0.15
2015-05-30 18:00:00,0.051
2015-05-30 19:00:00,0.01
2015-05-30 20:00:00,0.0
2015-05-30 21:00:00,0.0
2015-05-30 22:00:00,0.0
2015-05-30 23:00:00,0.0
2015-05-31 00:00:00,0.0
2015-05-31 01:00:00,0.0
2015-05-31 02:00:00,0.0
2015-05-31 03:00:00,0.0
2015-05-31 04:00:00,0.01
2015-05-31 05:00:00,0.05
2015-05-31 06:00:00,0.183
2015-05-31 07:00:00,0.351
2015-05-31 08:00:00,0.476
