hour,PL
2012-03-09 00:00:00,0.769
2012-03-09 01:00:00,0.724
2012-03-09 02:00:00,0.673
2012-03-09 03:00:00,0.668
2012-03-09 04:00:00,0.682
2012-03-09 05:00:00,0.697
2012-03-09 06:00:00,0.698
2012-03-09 07:00:00,0.704
2012-03-09 08:00:00,0.704
2012-03-09 09:00:00,0.674
2012-03-09 10:00:00,0.592
2012-03-09 11:00:00,0.485
2012-03-09 12:00:00,0.397
2012-03-09 13:00:00,0.34
2012-03-09 14:00:00,0.285
2012-03-09 15:00:00,0.236
2012-03-09 16:00:00,0.205
2012-03-09 17:00:00,0.182
2012-03-09 18:00:00,0.157
2012-03-09 19:00:00,0.139
2012-03-09 20:00:00,0.116
2012-03-09 21:00:00,0.091
2012-03-09 22:00:00,0.061
2012-03-09 23:00:00,0.063
2012-03-10 00:00:00,0.072
2012-03-10 01:00:00,0.086
2012-03-10 02:00:00,0.113
2012-03-10 03:00:00,0.099
2012-03-10 04:00:00,0.096
2012-03-10 05:00:00,0.119
2012-03-10 06:00:00,0.139
2012-03-10 07:00:00,0.175
2012-03-10 08:00:00,0.235
2012-03-10 09:00:00,0.365
2012-03-10 10:00:00,0.443
2012-03-10 11:00:00,0.525
2012-03-10 12:00:00,0.661
2012-03-10 13:00:00,0.834
2012-03-10 14:00:00,0.924
2012-03-10 15:00:00,0.947
2012-03-10 16:00:00,0.95
2012-03-10 17:00:00,0.95
2012-03-10 18:00:00,0.95
2012-03-10 19:00:00,0.95
2012-03-10 20:00:00,0.95
2012-03-10 21:00:00,0.95
2012-03-10 22:00:00,0.95
2012-03-10 23:00:00,0.95
2012-03-11 00:00:00,0.95
2012-03-11 01:00:00,0.95
2012-03-11 02:00:00,0.95
2012-03-11 03:00:00,0.95
2012-03-11 04:00:00,0.95
2012-03-11 05:00:00,0.95
2012-03-11 06:00:00,0.95
2012-03-11 07:00:00,0.95
2012-03-11 08:00:00,0.95
2012-03-11 09:00:00,0.95
2012-03-11 10:00:00,0.949
2012-03-11 11:00:00,0.947
2012-03-11 12:00:00,0.95
2012-03-11 13:00:00,0.95
2012-03-11 14:00:00,0.95
2012-03-11 15:00:00,0.95
2012-03-11 16:00:00,0.95
2012-03-11 17:00:00,0.95
2012-03-11 18:00:00,0.95
2012-03-11 19:00:00,0.95
2012-03-11 20:00:00,0.95
2012-03-11 21:00:00,0.95
2012-03-11 22:00:00,0.95
2012-03-11 23:00:00,0.95
2012-03-12 00:00:00,0.95
2012-03-12 01:00:00,0.95
2012-03-12 02:00:00,0.95
2012-03-12 03:00:00,0.95
2012-03-12 04:00:00,0.95
2012-03-12 05:00:00,0.95
2012-03-12 06:00:00,0.95
2012-03-12 07:00:00,0.95
2012-03-12 08:00:00,0.95
2012-03-12 09:00:00,0.95
2012-03-12 10:00:00,0.95
2012-03-12 11:00:00,0.926
2012-03-12 12:00:00,0.908
2012-03-12 13:00:00,0.88
2012-03-12 14:00:00,0.79
2012-03-12 15:00:00,0.762
2012-03-12 16:00:00,0.758
2012-03-12 17:00:00,0.788
2012-03-12 18:00:00,0.839
2012-03-12 19:00:00,0.889
2012-03-12 20:00:00,0.917
2012-03-12 21:00:00,0.914
2012-03-12 22:00:00,0.912
2012-03-12 23:00:00,0.905
2012-03-13 00:00:00,0.884
2012-03-13 01:00:00,0.86
2012-03-13 02:00:00,0.887
2012-03-13 03:00:00,0.875
2012-03-13 04:00:00,0.866
2012-03-13 05:00:00,0.816
2012-03-13 06:00:00,0.779
2012-03-13 07:00:00,0.867
2012-03-13 08:00:00,0.708
2012-03-13 09:00:00,0.538
2012-03-13 10:00:00,0.461
2012-03-13 11:00:00,0.324
2012-03-13 12:00:00,0.158
2012-03-13 13:00:00,0.055
2012-03-13 14:00:00,0.039
2012-03-13 15:00:00,0.109
2012-03-13 16:00:00,0.194
2012-03-13 17:00:00,0.245
2012-03-13 18:00:00,0.26
2012-03-13 19:00:00,0.246
2012-03-13 20:00:00,0.277
2012-03-13 21:00:00,0.284
