hour,PL
2012-03-09 00:00:00,0.362
2012-03-09 01:00:00,0.35
2012-03-09 02:00:00,0.339
2012-03-09 03:00:00,0.326
2012-03-09 04:00:00,0.333
2012-03-09 05:00:00,0.339
2012-03-09 06:00:00,0.335
2012-03-09 07:00:00,0.282
2012-03-09 08:00:00,0.24
2012-03-09 09:00:00,0.249
2012-03-09 10:00:00,0.229
2012-03-09 11:00:00,0.196
2012-03-09 12:00:00,0.157
2012-03-09 13:00:00,0.122
2012-03-09 14:00:00,0.094
2012-03-09 15:00:00,0.071
2012-03-09 16:00:00,0.073
2012-03-09 17:00:00,0.102
2012-03-09 18:00:00,0.117
2012-03-09 19:00:00,0.117
2012-03-09 20:00:00,0.111
2012-03-09 21:00:00,0.103
2012-03-09 22:00:00,0.092
2012-03-09 23:00:00,0.084
2012-03-10 00:00:00,0.079
2012-03-10 01:00:00,0.07
2012-03-10 02:00:00,0.062
2012-03-10 03:00:00,0.063
2012-03-10 04:00:00,0.063
2012-03-10 05:00:00,0.058
2012-03-10 06:00:00,0.049
2012-03-10 07:00:00,0.04
2012-03-10 08:00:00,0.044
2012-03-10 09:00:00,0.063
2012-03-10 10:00:00,0.095
2012-03-10 11:00:00,0.134
2012-03-10 12:00:00,0.173
2012-03-10 13:00:00,0.207
2012-03-10 14:00:00,0.226
2012-03-10 15:00:00,0.208
2012-03-10 16:00:00,0.2
2012-03-10 17:00:00,0.246
2012-03-10 18:00:00,0.302
2012-03-10 19:00:00,0.35
2012-03-10 20:00:00,0.391
2012-03-10 21:00:00,0.422
2012-03-10 22:00:00,0.442
2012-03-10 23:00:00,0.452
2012-03-11 00:00:00,0.461
2012-03-11 01:00:00,0.467
2012-03-11 02:00:00,0.471
2012-03-11 03:00:00,0.472
2012-03-11 04:00:00,0.47
2012-03-11 05:00:00,0.476
2012-03-11 06:00:00,0.486
2012-03-11 07:00:00,0.482
2012-03-11 08:00:00,0.475
2012-03-11 09:00:00,0.501
2012-03-11 10:00:00,0.559
2012-03-11 11:00:00,0.612
2012-03-11 12:00:00,0.632
2012-03-11 13:00:00,0.627
2012-03-11 14:00:00,0.611
2012-03-11 15:00:00,0.595
2012-03-11 16:00:00,0.609
2012-03-11 17:00:00,0.628
2012-03-11 18:00:00,0.645
2012-03-11 19:00:00,0.668
2012-03-11 20:00:00,0.698
2012-03-11 21:00:00,0.733
2012-03-11 22:00:00,0.776
2012-03-11 23:00:00,0.808
2012-03-12 00:00:00,0.835
2012-03-12 01:00:00,0.86
2012-03-12 02:00:00,0.88
2012-03-12 03:00:00,0.889
2012-03-12 04:00:00,0.881
2012-03-12 05:00:00,0.84
2012-03-12 06:00:00,0.798
2012-03-12 07:00:00,0.749
2012-03-12 08:00:00,0.732
2012-03-12 09:00:00,0.748
2012-03-12 10:00:00,0.795
2012-03-12 11:00:00,0.824
2012-03-12 12:00:00,0.839
2012-03-12 13:00:00,0.849
2012-03-12 14:00:00,0.845
2012-03-12 15:00:00,0.792
2012-03-12 16:00:00,0.698
2012-03-12 17:00:00,0.654
2012-03-12 18:00:00,0.61
2012-03-12 19:00:00,0.558
2012-03-12 20:00:00,0.503
2012-03-12 21:00:00,0.457
2012-03-12 22:00:00,0.414
2012-03-12 23:00:00,0.384
2012-03-13 00:00:00,0.379
2012-03-13 01:00:00,0.376
2012-03-13 02:00:00,0.374
2012-03-13 03:00:00,0.366
2012-03-13 04:00:00,0.361
2012-03-13 05:00:00,0.36
2012-03-13 06:00:00,0.351
2012-03-13 07:00:00,0.336
2012-03-13 08:00:00,0.318
2012-03-13 09:00:00,0.304
2012-03-13 10:00:00,0.29
2012-03-13 11:00:00,0.287
2012-03-13 12:00:00,0.308
2012-03-13 13:00:00,0.33
2012-03-13 14:00:00,0.335
2012-03-13 15:00:00,0.32
2012-03-13 16:00:00,0.303
2012-03-13 17:00:00,0.307
2012-03-13 18:00:00,0.307
2012-03-13 19:00:00,0.296
2012-03-13 20:00:00,0.276
2012-03-13 21:00:00,0.263
2012-03-13 22:00:00,0.259
2012-03-13 23:00:00,0.249
2012-03-14 00:00:00,0.231
2012-03-14 01:00:00,0.22
2012-03-14 02:00:00,0.223
2012-03-14 03:00:00,0.242
2012-03-14 04:00:00,0.284
2012-03-14 05:00:00,0.336
2012-03-14 06:00:00,0.388
2012-03-14 07:00:00,0.427
2012-03-14 08:00:00,0.465
2012-03-14 09:00:00,0.508
2012-03-14 10:00:00,0.549
2012-03-14 11:00:00,0.585
2012-03-14 12:00:00,0.616
2012-03-14 13:00:00,0.639
2012-03-14 14:00:00,0.651
2012-03-14 15:00:00,0.64
2012-03-14 16:00:00,0.614
2012-03-14 17:00:00,0.608
2012-03-14 18:00:00,0.59
2012-03-14 19:00:00,0.557
2012-03-14 20:00:00,0.524
2012-03-14 21:00:00,0.497
2012-03-14 22:00:00,0.47
2012-03-14 23:00:00,0.438
2012-03-15 00:00:00,0.409
2012-03-15 01:00:00,0.381
2012-03-15 02:00:00,0.359
2012-03-15 03:00:00,0.334
2012-03-15 04:00:00,0.308
2012-03-15 05:00:00,0.28
2012-03-15 06:00:00,0.25
2012-03-15 07:00:00,0.221
2012-03-15 08:00:00,0.21
2012-03-15 09:00:00,0.228
2012-03-15 10:00:00,0.253
2012-03-15 11:00:00,0.285
2012-03-15 12:00:00,0.324
2012-03-15 13:00:00,0.371
2012-03-15 14:00:00,0.405
2012-03-15 15:00:00,0.421
2012-03-15 16:00:00,0.382
2012-03-15 17:00:00,0.367
2012-03-15 18:00:00,0.357
2012-03-15 19:00:00,0.319
2012-03-15 20:00:00,0.267
2012-03-15 21:00:00,0.211
2012-03-15 22:00:00,0.17
2012-03-15 23:00:00,0.144
2012-05-14 00:00:00,0.466
2012-05-14 01:00:00,0.416
2012-05-14 02:00:00,0.358
2012-05-14 03:00:00,0.301
2012-05-14 04:00:00,0.248
2012-05-14 05:00:00,0.187
2012-05-14 06:00:00,0.184
2012-05-14 07:00:00,0.161
2012-05-14 08:00:00,0.125
2012-05-14 09:00:00,0.099
2012-05-14 10:00:00,0.088
2012-05-14 11:00:00,0.082
2012-05-14 12:00:00,0.082
2012-05-14 13:00:00,0.08
2012-05-14 14:00:00,0.078
2012-05-14 15:00:00,0.073
2012-05-14 16:00:00,0.062
2012-05-14 17:00:00,0.044
2012-05-14 18:00:00,0.025
2012-05-14 19:00:00,0.02
2012-05-14 20:00:00,0.017
2012-05-14 21:00:00,0.014
2012-05-14 22:00:00,0.017
2012-05-14 23:00:00,0.022
2012-05-15 00:00:00,0.029
2012-05-15 01:00:00,0.04
2012-05-15 02:00:00,0.049
2012-05-15 03:00:00,0.061
2012-05-15 04:00:00,0.063
2012-05-15 05:00:00,0.05
2012-05-15 06:00:00,0.038
2012-05-15 07:00:00,0.068
2012-05-15 08:00:00,0.093
2012-05-15 09:00:00,0.109
2012-05-15 10:00:00,0.119
2012-05-15 11:00:00,0.125
2012-05-15 12:00:00,0.123
2012-05-15 13:00:00,0.118
2012-05-15 14:00:00,0.11
2012-05-15 15:00:00,0.104
2012-05-15 16:00:00,0.101
2012-05-15 17:00:00,0.091
2012-05-15 18:00:00,0.057
2012-05-15 19:00:00,0.06
2012-05-15 20:00:00,0.075
2012-05-15 21:00:00,0.09
2012-05-15 22:00:00,0.11
2012-05-15 23:00:00,0.128
2012-05-16 00:00:00,0.136
