hour,PL
2015-03-01 00:00:00,0.812
2015-03-01 01:00:00,0.781
2015-03-01 02:00:00,0.763
2015-03-01 03:00:00,0.76
2015-03-01 04:00:00,0.767
2015-03-01 05:00:00,0.775
2015-03-01 06:00:00,0.771
2015-03-01 07:00:00,0.804
2015-03-01 08:00:00,0.859
2015-03-01 09:00:00,0.906
2015-03-01 10:00:00,0.926
2015-03-01 11:00:00,0.943
2015-03-01 12:00:00,0.942
2015-03-01 13:00:00,0.939
2015-03-01 14:00:00,0.915
2015-03-01 15:00:00,0.897
2015-03-01 16:00:00,0.902
2015-03-01 17:00:00,0.982
2015-03-01 18:00:00,1.041
2015-03-01 19:00:00,1.048
2015-03-01 20:00:00,1.003
2015-03-01 21:00:00,0.952
2015-03-01 22:00:00,0.901
2015-03-01 23:00:00,0.836
2015-03-02 00:00:00,0.795
2015-03-02 01:00:00,0.772
2015-03-02 02:00:00,0.764
2015-03-02 03:00:00,0.772
2015-03-02 04:00:00,0.796
2015-03-02 05:00:00,0.859
2015-03-02 06:00:00,0.99
2015-03-02 07:00:00,1.097
2015-03-02 08:00:00,1.159
2015-03-02 09:00:00,1.178
2015-03-02 10:00:00,1.185
2015-03-02 11:00:00,1.203
2015-03-02 12:00:00,1.199
2015-03-02 13:00:00,1.206
2015-03-02 14:00:00,1.196
2015-03-02 15:00:00,1.179
2015-03-02 16:00:00,1.159
2015-03-02 17:00:00,1.213
2015-03-02 18:00:00,1.26
2015-03-02 19:00:00,1.251
2015-03-02 20:00:00,1.21
2015-03-02 21:00:00,1.125
2015-03-02 22:00:00,1.04
2015-03-02 23:00:00,0.964
2015-03-03 00:00:00,0.917
2015-03-03 01:00:00,0.884
2015-03-03 02:00:00,0.871
2015-03-03 03:00:00,0.874
2015-03-03 04:00:00,0.891
2015-03-03 05:00:00,0.934
2015-03-03 06:00:00,1.047
2015-03-03 07:00:00,1.144
2015-03-03 08:00:00,1.192
2015-03-03 09:00:00,1.206
2015-03-03 10:00:00,1.211
2015-03-03 11:00:00,1.225
2015-03-03 12:00:00,1.224
2015-03-03 13:00:00,1.229
2015-03-03 14:00:00,1.209
2015-03-03 15:00:00,1.177
2015-03-03 16:00:00,1.166
2015-03-03 17:00:00,1.211
2015-03-03 18:00:00,1.268
2015-03-03 19:00:00,1.268
2015-03-03 20:00:00,1.216
2015-03-03 21:00:00,1.134
2015-03-03 22:00:00,1.055
2015-03-03 23:00:00,0.969
2015-03-04 00:00:00,0.913
2015-03-04 01:00:00,0.885
2015-03-04 02:00:00,0.873
2015-03-04 03:00:00,0.874
2015-03-04 04:00:00,0.894
2015-03-04 05:00:00,0.933
2015-03-04 06:00:00,1.044
2015-03-04 07:00:00,1.149
2015-03-04 08:00:00,1.205
2015-03-04 09:00:00,1.217
2015-03-04 10:00:00,1.22
2015-03-04 11:00:00,1.228
2015-03-04 12:00:00,1.226
