hour,PL
2012-03-09 00:00:00,0.955
2012-03-09 01:00:00,0.922
2012-03-09 02:00:00,0.91
2012-03-09 03:00:00,0.909
2012-03-09 04:00:00,0.922
2012-03-09 05:00:00,0.953
2012-03-09 06:00:00,1.044
2012-03-09 07:00:00,1.157
2012-03-09 08:00:00,1.201
2012-03-09 09:00:00,1.213
2012-03-09 10:00:00,1.209
2012-03-09 11:00:00,1.221
2012-03-09 12:00:00,1.219
2012-03-09 13:00:00,1.225
2012-03-09 14:00:00,1.209
2012-03-09 15:00:00,1.183
2012-03-09 16:00:00,1.169
2012-03-09 17:00:00,1.204
2012-03-09 18:00:00,1.279
2012-03-09 19:00:00,1.291
2012-03-09 20:00:00,1.249
2012-03-09 21:00:00,1.176
2012-03-09 22:00:00,1.087
2012-03-09 23:00:00,1.01
2012-03-10 00:00:00,0.955
2012-03-10 01:00:00,0.922
2012-03-10 02:00:00,0.907
2012-03-10 03:00:00,0.906
2012-03-10 04:00:00,0.918
2012-03-10 05:00:00,0.951
2012-03-10 06:00:00,1.042
2012-03-10 07:00:00,1.145
2012-03-10 08:00:00,1.201
2012-03-10 09:00:00,1.224
2012-03-10 10:00:00,1.223
2012-03-10 11:00:00,1.232
2012-03-10 12:00:00,1.226
2012-03-10 13:00:00,1.233
2012-03-10 14:00:00,1.206
2012-03-10 15:00:00,1.183
2012-03-10 16:00:00,1.166
2012-03-10 17:00:00,1.187
2012-03-10 18:00:00,1.266
2012-03-10 19:00:00,1.268
2012-03-10 20:00:00,1.226
2012-03-10 21:00:00,1.154
2012-03-10 22:00:00,1.079
2012-03-10 23:00:00,1.005
2012-03-11 00:00:00,0.946
2012-03-11 01:00:00,0.905
2012-03-11 02:00:00,0.888
2012-03-11 03:00:00,0.882
2012-03-11 04:00:00,0.879
2012-03-11 05:00:00,0.879
2012-03-11 06:00:00,0.886
2012-03-11 07:00:00,0.955
2012-03-11 08:00:00,1.026
2012-03-11 09:00:00,1.07
2012-03-11 10:00:00,1.088
2012-03-11 11:00:00,1.093
2012-03-11 12:00:00,1.086
2012-03-11 13:00:00,1.086
2012-03-11 14:00:00,1.062
2012-03-11 15:00:00,1.031
2012-03-11 16:00:00,1.025
2012-03-11 17:00:00,1.068
2012-03-11 18:00:00,1.14
2012-03-11 19:00:00,1.135
2012-03-11 20:00:00,1.091
2012-03-11 21:00:00,1.032
2012-03-11 22:00:00,0.967
2012-03-11 23:00:00,0.899
2012-03-12 00:00:00,0.834
2012-03-12 01:00:00,0.792
2012-03-12 02:00:00,0.774
2012-03-12 03:00:00,0.761
2012-03-12 04:00:00,0.762
2012-03-12 05:00:00,0.755
2012-03-12 06:00:00,0.749
2012-03-12 07:00:00,0.792
2012-03-12 08:00:00,0.852
2012-03-12 09:00:00,0.903
2012-03-12 10:00:00,0.934
2012-03-12 11:00:00,0.948
2012-03-12 12:00:00,0.953
2012-03-12 13:00:00,0.95
2012-03-12 14:00:00,0.926
2012-03-12 15:00:00,0.905
2012-03-12 16:00:00,0.896
2012-03-12 17:00:00,0.926
2012-03-12 18:00:00,1.046
2012-03-12 19:00:00,1.073
2012-03-12 20:00:00,1.038
2012-03-12 21:00:00,0.988
2012-03-12 22:00:00,0.944
2012-03-12 23:00:00,0.87
2012-03-13 00:00:00,0.818
2012-03-13 01:00:00,0.803
2012-03-13 02:00:00,0.79
2012-03-13 03:00:00,0.792
2012-03-13 04:00:00,0.807
