hour,PL
2012-03-09 00:00:00,1.706
2012-03-09 01:00:00,1.725
2012-03-09 02:00:00,1.738
2012-03-09 03:00:00,1.792
2012-03-09 04:00:00,1.912
2012-03-09 05:00:00,2.232
2012-03-09 06:00:00,2.377
2012-03-09 07:00:00,2.325
2012-03-09 08:00:00,2.308
2012-03-09 09:00:00,2.268
2012-03-09 10:00:00,2.221
2012-03-09 11:00:00,2.177
2012-03-09 12:00:00,2.155
2012-03-09 13:00:00,2.139
2012-03-09 14:00:00,2.148
2012-03-09 15:00:00,2.161
2012-03-09 16:00:00,2.202
2012-03-09 17:00:00,2.234
2012-03-09 18:00:00,2.241
2012-03-09 19:00:00,2.229
2012-03-09 20:00:00,2.193
2012-03-09 21:00:00,2.087
2012-03-09 22:00:00,1.913
2012-03-09 23:00:00,1.744
2012-03-10 00:00:00,1.535
2012-03-10 01:00:00,1.557
2012-03-10 02:00:00,1.569
2012-03-10 03:00:00,1.617
2012-03-10 04:00:00,1.729
2012-03-10 05:00:00,2.027
2012-03-10 06:00:00,2.158
2012-03-10 07:00:00,2.114
2012-03-10 08:00:00,2.091
2012-03-10 09:00:00,2.055
2012-03-10 10:00:00,2.01
2012-03-10 11:00:00,1.971
2012-03-10 12:00:00,1.952
2012-03-10 13:00:00,1.937
2012-03-10 14:00:00,1.948
2012-03-10 15:00:00,1.959
2012-03-10 16:00:00,1.999
2012-03-10 17:00:00,2.028
2012-03-10 18:00:00,2.035
2012-03-10 19:00:00,2.027
2012-03-10 20:00:00,1.993
2012-03-10 21:00:00,1.898
2012-03-10 22:00:00,1.728
2012-03-10 23:00:00,1.577
2012-03-11 00:00:00,1.165
2012-03-11 01:00:00,1.185
2012-03-11 02:00:00,1.193
2012-03-11 03:00:00,1.23
2012-03-11 04:00:00,1.33
2012-03-11 05:00:00,1.574
2012-03-11 06:00:00,1.7
2012-03-11 07:00:00,1.669
2012-03-11 08:00:00,1.639
2012-03-11 09:00:00,1.596
2012-03-11 10:00:00,1.562
2012-03-11 11:00:00,1.53
2012-03-11 12:00:00,1.508
2012-03-11 13:00:00,1.502
2012-03-11 14:00:00,1.506
2012-03-11 15:00:00,1.521
2012-03-11 16:00:00,1.553
2012-03-11 17:00:00,1.581
2012-03-11 18:00:00,1.591
2012-03-11 19:00:00,1.59
2012-03-11 20:00:00,1.567
2012-03-11 21:00:00,1.487
2012-03-11 22:00:00,1.34
2012-03-11 23:00:00,1.211
2012-03-12 00:00:00,1.106
2012-03-12 01:00:00,1.124
2012-03-12 02:00:00,1.134
2012-03-12 03:00:00,1.169
2012-03-12 04:00:00,1.268
2012-03-12 05:00:00,1.5
2012-03-12 06:00:00,1.618
2012-03-12 07:00:00,1.582
2012-03-12 08:00:00,1.549
2012-03-12 09:00:00,1.508
2012-03-12 10:00:00,1.475
2012-03-12 11:00:00,1.445
2012-03-12 12:00:00,1.425
2012-03-12 13:00:00,1.417
2012-03-12 14:00:00,1.419
2012-03-12 15:00:00,1.435
2012-03-12 16:00:00,1.47
2012-03-12 17:00:00,1.498
2012-03-12 18:00:00,1.514
2012-03-12 19:00:00,1.51
2012-03-12 20:00:00,1.49
2012-03-12 21:00:00,1.418
2012-03-12 22:00:00,1.275
2012-03-12 23:00:00,1.152
2012-03-13 00:00:00,1.219
2012-03-13 01:00:00,1.245
2012-03-13 02:00:00,1.252
2012-03-13 03:00:00,1.295
2012-03-13 04:00:00,1.407
2012-03-13 05:00:00,1.661
2012-03-13 06:00:00,1.78
2012-03-13 07:00:00,1.745
2012-03-13 08:00:00,1.714
2012-03-13 09:00:00,1.668
2012-03-13 10:00:00,1.629
2012-03-13 11:00:00,1.598
2012-03-13 12:00:00,1.577
2012-03-13 13:00:00,1.569
2012-03-13 14:00:00,1.575
2012-03-13 15:00:00,1.59
2012-03-13 16:00:00,1.619
2012-03-13 17:00:00,1.657
2012-03-13 18:00:00,1.666
2012-03-13 19:00:00,1.67
2012-03-13 20:00:00,1.643
2012-03-13 21:00:00,1.563
2012-03-13 22:00:00,1.408
2012-03-13 23:00:00,1.268
2012-03-14 00:00:00,1.005
2012-03-14 01:00:00,1.031
2012-03-14 02:00:00,1.034
2012-03-14 03:00:00,1.075
2012-03-14 04:00:00,1.184
2012-03-14 05:00:00,1.408
2012-03-14 06:00:00,1.51
2012-03-14 07:00:00,1.483
2012-03-14 08:00:00,1.443
2012-03-14 09:00:00,1.394
2012-03-14 10:00:00,1.358
2012-03-14 11:00:00,1.325
2012-03-14 12:00:00,1.309
2012-03-14 13:00:00,1.304
2012-03-14 14:00:00,1.304
2012-03-14 15:00:00,1.325
2012-03-14 16:00:00,1.351
2012-03-14 17:00:00,1.386
2012-03-14 18:00:00,1.402
2012-03-14 19:00:00,1.411
2012-03-14 20:00:00,1.39
2012-03-14 21:00:00,1.319
2012-03-14 22:00:00,1.182
2012-03-14 23:00:00,1.053
2012-03-15 00:00:00,1.141
2012-03-15 01:00:00,1.164
2012-03-15 02:00:00,1.172
2012-03-15 03:00:00,1.213
2012-03-15 04:00:00,1.311
2012-03-15 05:00:00,1.552
2012-03-15 06:00:00,1.656
2012-03-15 07:00:00,1.629
2012-03-15 08:00:00,1.597
2012-03-15 09:00:00,1.563
2012-03-15 10:00:00,1.523
2012-03-15 11:00:00,1.49
2012-03-15 12:00:00,1.477
2012-03-15 13:00:00,1.466
2012-03-15 14:00:00,1.474
2012-03-15 15:00:00,1.49
2012-03-15 16:00:00,1.52
2012-03-15 17:00:00,1.55
2012-03-15 18:00:00,1.559
2012-03-15 19:00:00,1.558
2012-03-15 20:00:00,1.533
2012-03-15 21:00:00,1.459
2012-03-15 22:00:00,1.311
2012-03-15 23:00:00,1.186
2012-05-14 00:00:00,0.773
2012-05-14 01:00:00,0.771
2012-05-14 02:00:00,0.806
2012-05-14 03:00:00,0.893
2012-05-14 04:00:00,1.063
2012-05-14 05:00:00,1.152
2012-05-14 06:00:00,1.127
2012-05-14 07:00:00,1.094
2012-05-14 08:00:00,1.05
2012-05-14 09:00:00,1.019
2012-05-14 10:00:00,0.997
2012-05-14 11:00:00,0.989
2012-05-14 12:00:00,0.97
2012-05-14 13:00:00,0.972
2012-05-14 14:00:00,0.989
2012-05-14 15:00:00,1.015
2012-05-14 16:00:00,1.043
2012-05-14 17:00:00,1.06
2012-05-14 18:00:00,1.068
2012-05-14 19:00:00,1.056
2012-05-14 20:00:00,1.002
2012-05-14 21:00:00,0.896
2012-05-14 22:00:00,0.796
2012-05-14 23:00:00,0.553
2012-05-15 00:00:00,0.564
2012-05-15 01:00:00,0.568
2012-05-15 02:00:00,0.594
2012-05-15 03:00:00,0.676
2012-05-15 04:00:00,0.827
2012-05-15 05:00:00,0.908
2012-05-15 06:00:00,0.891
2012-05-15 07:00:00,0.847
2012-05-15 08:00:00,0.81
2012-05-15 09:00:00,0.781
2012-05-15 10:00:00,0.758
2012-05-15 11:00:00,0.741
2012-05-15 12:00:00,0.729
2012-05-15 13:00:00,0.723
2012-05-15 14:00:00,0.735
2012-05-15 15:00:00,0.744
2012-05-15 16:00:00,0.765
2012-05-15 17:00:00,0.788
2012-05-15 18:00:00,0.81
2012-05-15 19:00:00,0.804
2012-05-15 20:00:00,0.772
2012-05-15 21:00:00,0.678
2012-05-15 22:00:00,0.586
2012-05-15 23:00:00,0.475
2012-05-16 00:00:00,0.483
2012-05-16 01:00:00,0.488
2012-05-16 02:00:00,0.512
2012-05-16 03:00:00,0.586
2012-05-16 04:00:00,0.73
2012-05-16 05:00:00,0.803
2012-05-16 06:00:00,0.791
2012-05-16 07:00:00,0.744
2012-05-16 08:00:00,0.712
2012-05-16 09:00:00,0.685
2012-05-16 10:00:00,0.661
2012-05-16 11:00:00,0.641
2012-05-16 12:00:00,0.631
2012-05-16 13:00:00,0.623
2012-05-16 14:00:00,0.633
2012-05-16 15:00:00,0.639
2012-05-16 16:00:00,0.657
2012-05-16 17:00:00,0.683
2012-05-16 18:00:00,0.708
2012-05-16 19:00:00,0.703
2012-05-16 20:00:00,0.676
2012-05-16 21:00:00,0.594
2012-05-16 22:00:00,0.509
2012-05-16 23:00:00,0.565
2012-05-17 00:00:00,0.575
2012-05-17 01:00:00,0.581
2012-05-17 02:00:00,0.608
2012-05-17 03:00:00,0.685
2012-05-17 04:00:00,0.833
2012-05-17 05:00:00,0.913
2012-05-17 06:00:00,0.896
2012-05-17 07:00:00,0.853
2012-05-17 08:00:00,0.819
2012-05-17 09:00:00,0.789
2012-05-17 10:00:00,0.768
2012-05-17 11:00:00,0.753
2012-05-17 12:00:00,0.741
2012-05-17 13:00:00,0.74
2012-05-17 14:00:00,0.751
2012-05-17 15:00:00,0.761
2012-05-17 16:00:00,0.783
2012-05-17 17:00:00,0.803
2012-05-17 18:00:00,0.82
2012-05-17 19:00:00,0.816
2012-05-17 20:00:00,0.78
2012-05-17 21:00:00,0.685
2012-05-17 22:00:00,0.6
2012-05-17 23:00:00,0.764
2012-05-18 00:00:00,0.789
2012-05-18 01:00:00,0.789
2012-05-18 02:00:00,0.822
2012-05-18 03:00:00,0.916
2012-05-18 04:00:00,1.087
2012-05-18 05:00:00,1.164
2012-05-18 06:00:00,1.143
2012-05-18 07:00:00,1.115
2012-05-18 08:00:00,1.073
2012-05-18 09:00:00,1.038
2012-05-18 10:00:00,1.012
2012-05-18 11:00:00,1.004
2012-05-18 12:00:00,0.994
2012-05-18 13:00:00,0.995
2012-05-18 14:00:00,1.014
2012-05-18 15:00:00,1.033
2012-05-18 16:00:00,1.064
2012-05-18 17:00:00,1.078
2012-05-18 18:00:00,1.084
2012-05-18 19:00:00,1.077
2012-05-18 20:00:00,1.016
2012-05-18 21:00:00,0.905
2012-05-18 22:00:00,0.809
2012-05-18 23:00:00,0.623
2012-05-19 00:00:00,0.636
2012-05-19 01:00:00,0.637
2012-05-19 02:00:00,0.665
2012-05-19 03:00:00,0.747
2012-05-19 04:00:00,0.897
2012-05-19 05:00:00,0.975
