,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL electricity,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel
0,2.2260432945842012e-05,-8.363940651179291e-10,-5.807692105008755e-10,-1.3292265066411346e-09,4.135673680139007e-05,-1.708576746750623e-08,1.9171864465761246e-05,-4.4919943320564926e-09,-7.835751603124663e-09,4.853291102335788e-10
1,2.226143203643005e-05,-8.432721188000869e-10,-5.855440576851834e-10,-1.337127741862787e-09,4.144974786868261e-05,-1.7165803001262248e-08,1.9167688947163697e-05,-4.4929038267582655e-09,-7.885773811722174e-09,4.853291102335788e-10
2,2.2264248126901975e-05,-8.478764357278123e-10,-5.88897819397971e-10,-1.3428120837488677e-09,4.148247080593137e-05,-1.722582965157926e-08,1.9167564346389554e-05,-4.4929038267582655e-09,-7.920334610389546e-09,4.853291102335788e-10
3,2.2266671074078204e-05,-8.673168849782087e-10,-6.023697096679825e-10,-1.365549451293191e-09,4.1467202322564845e-05,-1.7464117263443768e-08,1.9168471794728248e-05,-4.4929038267582655e-09,-8.064489520620555e-09,4.853291102335788e-10
4,2.2265664540555008e-05,-9.106884135690052e-10,-6.323261914076284e-10,-1.416765371686779e-09,4.152206474827835e-05,-1.798616722226143e-08,1.9166599145137297e-05,-4.4929038267582655e-09,-8.385086402995512e-09,4.853291102335788e-10
5,2.2261777413490336e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4997567632235587e-09,4.158180934155098e-05,-1.9395884010009468e-08,1.9163529145771463e-05,-4.4929038267582655e-09,-9.238647180609405e-09,4.853291102335788e-10
6,2.2272453623628508e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4996999198046979e-09,6.071123334550066e-05,-2.0034349290654063e-08,1.9182221251412557e-05,-4.4929038267582655e-09,-9.626091923564672e-09,4.853291102335788e-10
7,-1.9941442133131204e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4996999198046979e-09,-4.388002889754716e-05,-1.9805156625807285e-08,0.00012288592556612644,-4.4919943320564926e-09,-9.486029739491642e-09,4.853291102335788e-10
8,2.227287589917637e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4998136066424195e-09,6.072453922456589e-05,-1.972875907085836e-08,1.9190456157502922e-05,-4.4929038267582655e-09,-9.440555004402995e-09,4.853291102335788e-10
9,2.2252376552955866e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4996999198046979e-09,6.112422875048651e-05,-1.9554136088117957e-08,1.9155674976900627e-05,-4.4919943320564926e-09,-9.335053618997335e-09,4.853291102335788e-10
10,9.240949111699592e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4997567632235587e-09,-0.0002565907038842852,-1.934677129611373e-08,7.364316206803778e-05,-4.49108483735472e-09,-9.207724360749125e-09,4.853291102335788e-10
11,9.248270654893531e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4996999198046979e-09,-0.00025681057059046,-1.915395841933787e-08,7.369786021627078e-05,-4.4929038267582655e-09,-9.091763786273077e-09,4.853291102335788e-10
12,2.2218400740570132e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.4997567632235587e-09,6.113255562922859e-05,-1.9059370970353484e-08,1.914366339406115e-05,-4.4929038267582655e-09,-9.033101378008723e-09,4.853291102335788e-10
13,2.2213443195084892e-05,-9.506493370281532e-10,-6.600657798117027e-10,-1.499643076385837e-09,6.049035512489809e-05,-1.898661139421165e-08,1.9169205344837792e-05,-4.4929038267582655e-09,-8.990355127025396e-09,4.853291102335788e-10
14,3.973075659740433e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.1105499652330764e-05,-1.9028448150493205e-08,5.509850236133591e-06,-4.49108483735472e-09,-9.014001989271492e-09,4.853291102335788e-10
15,-4.252892139788855e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.0808684919538791e-05,-1.9084836822003126e-08,-1.276958471407852e-06,-5.567926564253867e-09,-9.049472282640636e-09,4.853291102335788e-10
16,-4.254634077938135e-06,-9.506493370281532e-10,-6.600657798117027e-10,-1.4995293895481154e-09,-1.0839879450941226e-05,-1.926309778355062e-08,-1.2762048413605953e-06,-1.0773874237202108e-08,-9.159066394204274e-09,4.853291102335788e-10
