,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
0,-33.6,-180.73440000000002,-86.39999999999999,-130.0,-215.62944000000002,-298.7,-2320.91136,-785.2,-1565.42592,-275.0
1,-33.6,-182.49000000000004,-86.39999999999999,-130.0,-217.72400000000002,-298.7,-2343.456,-785.2,-1580.632,-275.0
2,-33.6,-183.69120000000004,-86.39999999999999,-130.0,-219.15712000000002,-298.7,-2358.88128,-785.2,-1591.03616,-275.0
3,-33.6,-188.68080000000003,-86.39999999999999,-130.0,-225.11008000000004,-298.7,-2422.9555200000004,-785.2,-1634.2534400000002,-275.0
4,-33.6,-199.76880000000003,-86.39999999999999,-130.0,-238.33888000000002,-298.7,-2565.34272,-785.2,-1730.29184,-275.0
5,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2945.0419200000006,-785.2,-1986.3942400000003,-275.0
6,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-3117.09312,-785.2,-2102.44064,-275.0
7,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-3055.3920000000007,-785.2,-2060.8240000000005,-275.0
8,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-3035.2204800000004,-785.2,-2047.2185600000003,-275.0
9,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2987.7580800000005,-785.2,-2015.20576,-275.0
10,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2931.9897600000004,-785.2,-1977.5907200000001,-275.0
11,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2879.78112,-785.2,-1942.37664,-275.0
12,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2853.6768,-785.2,-1924.7695999999999,-275.0
13,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2834.69184,-785.2,-1911.9644799999996,-275.0
14,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2845.3708800000004,-785.2,-1919.1673600000001,-275.0
15,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2860.7961600000003,-785.2,-1929.57152,-275.0
16,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2909.4451200000003,-785.2,-1962.38464,-275.0
17,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2947.4150400000003,-785.2,-1987.99488,-275.0
18,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2955.72096,-785.2,-1993.5971200000001,-275.0
19,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2941.4822400000003,-785.2,-1983.9932800000001,-275.0
20,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2898.7660800000003,-785.2,-1955.1817600000002,-275.0
21,-33.6,-210.0,-86.39999999999999,-130.0,-257.63088000000005,-298.7,-2772.9907200000002,-785.2,-1870.3478400000001,-275.0
22,-33.6,-199.86120000000005,-86.39999999999999,-130.0,-238.44912000000005,-298.7,-2566.52928,-785.2,-1731.0921600000001,-275.0
23,-33.6,-184.24560000000002,-86.39999999999999,-130.0,-219.81856000000002,-298.7,-2366.00064,-785.2,-1595.83808,-275.0
24,-33.6,-164.93400000000003,-86.39999999999999,-130.0,-196.7784,-298.7,-2118.0096,-785.2,-1428.5711999999999,-275.0
25,-33.6,-166.9668,-86.39999999999999,-130.0,-199.20368000000002,-298.7,-2144.1139200000002,-785.2,-1446.17824,-275.0
26,-33.6,-168.07560000000004,-86.39999999999999,-130.0,-200.52656000000002,-298.7,-2158.35264,-785.2,-1455.78208,-275.0
27,-33.6,-172.51080000000002,-86.39999999999999,-130.0,-205.81808,-298.7,-2215.3075200000003,-785.2,-1494.19744,-275.0
28,-33.6,-182.85960000000003,-86.39999999999999,-130.0,-218.16496000000004,-298.7,-2348.2022400000005,-785.2,-1583.83328,-275.0
29,-33.6,-210.0,-86.39999999999999,-130.0,-251.01648000000003,-298.7,-2701.79712,-785.2,-1822.3286400000002,-275.0
30,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2857.23648,-785.2,-1927.1705599999998,-275.0
31,-33.6,-210.0,-86.39999999999999,-130.0,-260.0,-298.7,-2805.02784,-785.2,-1891.95648,-275.0
32,-33.6,-210.0,-86.39999999999999,-130.0,-258.07184000000007,-298.7,-2777.7369600000006,-785.2,-1873.5491200000001,-275.0
33,-33.6,-210.0,-86.39999999999999,-130.0,-254.10320000000004,-298.7,-2735.0208000000002,-785.2,-1844.7376,-275.0
34,-33.6,-208.824,-86.39999999999999,-130.0,-249.1424,-298.7,-2681.6256,-785.2,-1808.7231999999997,-275.0
35,-33.6,-205.22040000000004,-86.39999999999999,-130.0,-244.84304000000003,-298.7,-2635.3497600000005,-785.2,-1777.5107200000002,-275.0
36,-33.6,-203.46480000000003,-86.39999999999999,-130.0,-242.74848000000003,-298.7,-2612.80512,-785.2,-1762.30464,-275.0
37,-33.6,-202.07880000000003,-86.39999999999999,-130.0,-241.09488000000002,-298.7,-2595.0067200000003,-785.2,-1750.29984,-275.0
38,-33.6,-203.09520000000003,-86.39999999999999,-130.0,-242.30752,-298.7,-2608.05888,-785.2,-1759.1033599999998,-275.0
39,-33.6,-204.11160000000004,-86.39999999999999,-130.0,-243.52016000000003,-298.7,-2621.1110400000002,-785.2,-1767.90688,-275.0
40,-33.6,-207.80760000000004,-86.39999999999999,-130.0,-247.92976000000004,-298.7,-2668.57344,-785.2,-1799.9196800000002,-275.0
41,-33.6,-210.0,-86.39999999999999,-130.0,-251.12672000000003,-298.7,-2702.9836800000003,-785.2,-1823.12896,-275.0
