,PL battery large storage 2023,PL hydro PSH storage 2023
0,-26.006339402809445,-219.0190091223197
1,-26.00346827873841,-363.7945676734483
2,-25.49795152495986,-414.276078097303
3,-24.98809527161683,-395.52654290505353
4,-25.137948942272452,-446.01347019183754
5,-25.613473096998305,-538.0800608128046
6,-23.842794338929963,-173.54865917488996
7,149.99693692779175,110.03161919380769
8,-22.103581204884474,-218.3819482970491
9,-24.396671613281832,-833.4514242115926
10,-139.99847774452022,-1129.9977532253965
11,-137.76370968942607,-1128.1934538121393
12,-34.19093885286283,-903.6793294595753
13,-22.75782813189361,-35.4005346153499
14,0.00013354858344168387,0.00017857845838909782
15,49.84236953111235,244.42404007593433
16,35.635156711637286,192.33402778070095
17,33.59210786832609,342.1745129296278
18,23.764269580151566,1388.8231190238391
19,32.5622359466473,1589.7118498924185
20,27.77898938930165,1074.6248744806833
21,24.047557803154195,212.1061368402465
22,21.942788599333504,131.15503644323977
23,21.303705117619042,121.00130922433874
24,21.04986289058913,119.26087506498448
25,20.926118926494137,117.59969762999098
26,21.00147231879334,118.62986499884965
27,21.191370196244314,119.49143469365066
28,21.564029499485272,121.76347765042736
29,22.148456751369572,125.37195820106591
30,23.500435039961573,146.97747215797634
31,26.060805291873873,221.83865231836938
32,27.28459543598011,183.40516732810485
33,29.725773692051504,162.90228734384877
34,34.91223442367133,153.19555546920733
35,49.130472219518516,131.77438012633786
36,-140.0009692095797,1.7906322781094944e-05
37,-140.0009664056958,1.908514834310068e-05
38,-140.000971402592,1.5143735595200106e-05
39,-140.00096873185151,1.7822053414206207e-05
40,132.9411488345097,139.9740014311275
41,132.46590144043552,273.5863121344981
42,132.4424173567054,350.3098044352212
43,133.35034358311927,668.6430042510858
44,39.83908654401697,18.92086023031461
45,-0.0008476543520975384,-0.0010799620078627559
46,-0.006208114374205987,-0.003611267495963177
47,-0.002142073268064954,-0.0016277150404729005
48,-2.665614803724087,-6.54605134529762
49,-2.0868829776071602,-219.5331789356772
50,-1.6691105943378914,-91.97237981502337
51,-1.434275439548546,-75.84639451342805
52,-1.2780267043492306,-67.21474311066977
53,-1.162554121812561,-64.43749794498001
54,-1.0738771428229272,-59.28241306411526
55,-1.0038346831906921,-53.41636070811652
56,-0.9454126901993,-50.92920482576779
57,-0.8968084353121545,-49.213588473909155
58,-0.855237317094972,-47.63470079387001
59,-0.8190134366908418,-45.76466160783986
60,-0.7873634692580971,-44.100814968023805
61,-0.7593293237456545,-42.150319242953806
62,-0.7346166971968668,-40.76058430668134
63,-0.7124728272556041,-39.345802322729185
64,-0.6926417911696044,-37.98883344089323
65,-0.6732684680621289,-34.94135435901632
66,-0.0014415758896425858,-0.0008051201738682459
67,-0.0016113217079032644,-0.0008446944552738095
68,-0.6261058826933024,-33.15082071679471
69,-0.611930583416722,-34.596506132179385
70,-0.5984083056492042,-33.7860901334213
71,-0.5855496792974649,-33.03091375960469
72,-0.5733254489799781,-32.319588133864585
73,-0.5616071697032784,-31.63976532918092
74,-0.5503398526603761,-30.98618143378524
75,-0.5394810299501743,-30.354664296744236
76,-0.5289852249061742,-29.741582917372916
77,-0.5190691573700308,-29.85227191552346
78,-0.509444091050136,-29.594012527966086
79,-0.5002278204987429,-29.025975722132788
80,-0.4921387280879885,-32.49160201450497
81,-0.5026422507665099,-469.912483204181
82,-140.00019408026202,-1129.9990183370016
83,-140.00016519245645,-1129.9990160385805
84,-140.0001691221813,-1129.999016524129
85,-140.00020782509182,-1129.9990195482344
86,-0.560342368375767,-1092.574543945667
87,-0.545431252619372,-379.2164815624621
88,-0.5364601647440191,-30.262833830238787
89,-0.5597622289683272,-30.61038278213037
90,-0.5859896776827414,-29.84838994760032
91,-0.0016216914667586302,-0.000797603048051926
92,-0.0012709452534990355,-0.0008043913386201228
93,-0.0012021531375864796,-0.0008210108553696966
94,-0.001226569288886039,-0.0008272896313013354
95,-0.7814197761884754,-36.764124953139934
96,-0.8529227407793407,-44.84044951749696
97,-0.9413686800347623,-49.31574416645248
98,-1.065277671686999,-56.502155029523934
99,-1.2607587881692468,-64.05843277115584
100,-1.6364663739664105,-74.21062575814236
101,-2.6973333686150127,-110.22130392527549
102,-0.0024879825606015354,-0.001658733311286252
103,-0.0060293788697749345,-0.004197301194647881
104,0.0001157983029009438,0.00013798688311601973
105,0.0005735685484432906,0.00030673515338457147
106,0.00011527820370377094,0.00013858909917006867
107,-9.48153572439e-05,9.200294984930993e-05
108,-0.000498131241944375,5.397902563244127e-05
109,104.43935214595864,43.196493112217006
110,-85.67509264788045,8.817699240730833e-05
111,48.53201682848811,50.599626998576625
112,71.53704584065827,467.7332497234214
113,68.78957425612829,1407.0001307100272
114,70.24583759473927,1562.0187715628167
115,72.09075240439024,1568.3559548583917
116,76.07924626087319,1563.9518196349904
117,80.51558224927567,1165.273800236746
118,93.4452055661553,641.8685607393613
119,-0.0005032674722455025,5.124490590803969e-05
120,-9.682320786690693e-05,8.692969567446025e-05
121,0.00012015296038520487,0.0001414476334408385
122,0.0005727031442419945,0.00029390115795720483
123,0.00011646364148657767,0.00014015846370449598
124,-57.26329801173889,-250.21519186558882
125,-43.469477145609005,-555.7638722355669
126,-35.505556734728806,-307.6061865554055
127,-27.89082997569961,-113.54502586046864
128,-29.283146260230858,-253.80650808169497
129,-29.08525994746966,-305.30563057661595
130,-29.061190110554847,-464.54408761965095
131,-28.815869445572947,-488.39065476897997
132,-29.294876671413284,-600.3445919025719
133,-29.352426895047717,-538.0388021394801
134,-30.207673145920168,-561.9493759894735
135,-31.23347932852247,-511.62694138491077
136,-32.685244756991445,-413.28060915020285
137,-34.89013568058539,-296.95734588794664
138,-31.902513568704606,-82.80967925900492
139,149.99701545823737,453.6308583510417
140,149.99700510669342,425.3680066847755
141,-33.245377000010244,-73.19493154142519
142,-39.19288559321381,-248.047982819451
143,-38.867406648945355,-338.63916221064216
144,-39.37654702530018,-517.328072923395
145,-40.29019258139404,-579.205909410838
146,-42.11479384639383,-597.9818519476964
147,-45.5448259355784,-529.6959694774603
148,-52.187514502106204,-389.0447015080772
149,-69.23344665202406,-331.6757139486452
150,0.00012121997762780742,0.0001663320819198337
151,131.77702991699664,1111.1755436102444
152,129.5635826351391,1331.0705983235637
153,128.71663709990068,904.249760916165
154,128.84269742364356,215.62715508991369
155,81.09954839498693,20.424633715025482
156,-39.994442843320684,1.8361704157142665e-05
157,-140.0012110724806,-0.004023766979180323
158,-140.00121667813065,-427.13781695735054
159,-140.0012178957794,-700.090133846152
160,-140.00121411619938,-0.00449916929133528
161,93.59138378966537,136.23412841137173
162,85.29742169931701,729.6655892230331
163,78.52492784399149,1069.8039217928904
164,79.32956982907392,1108.6622967841276
165,77.62321753299054,1101.0691266248987
166,84.93071769808328,1121.140009078072
167,100.70240362099932,748.1134709662647
168,-61.83921541149214,-772.7515383432975
169,-42.63763830874138,-614.3020037741937
170,-35.83615972019678,-530.3379929866593
171,-32.30929782915249,-481.3663400961641
172,-30.2817141721001,-500.92227955811666
173,-29.402240767725168,-473.31858652781733
174,-28.814667763088817,-517.353230415499
175,-28.772579338387125,-781.6576959000196
176,-29.204361788002142,-876.1928997037577
177,-29.18011589232323,-777.1236526062644
178,-29.660042743121092,-698.6919038411581
179,-28.845623197124837,-191.1850427819818
180,-31.107434238981185,-289.93341326618076
181,-33.81021408423815,-321.56494872365545
182,-38.56012388246908,-391.09516948166845
183,-43.845082636619765,-172.5198856555071
184,-45.89344395800701,-79.68336853213432
185,0.00012283112466584463,0.00017782022193301626
186,86.06570011013746,347.6253304194672
187,69.35121724401783,710.1053165833201
188,61.117723970334296,265.39676781145715
189,56.86404190152696,234.21967776697713
190,52.803303543967345,176.91334516533456
191,57.09924631024375,156.45661238155546
192,61.05687580859586,129.84411500007934
193,67.46781483553737,101.24058446201471
194,62.38515292523543,50.37986736932997
195,-140.0009781199479,1.9093337227985406e-05
196,-140.0009794101996,1.9345614661298847e-05
197,128.46597822951674,123.39761043325747
198,130.0458415830161,124.16993547256952
199,47.278568971924614,14.476746947623848
200,-140.00121700249312,-172.3008816998326
201,-140.00121750167858,-717.6780276765336
202,-140.0012156623159,-116.90870743503721
203,-34.852836274692464,1.6252881185423928e-05
204,-37.688276375379665,1.7472099900097693e-05
205,-49.85671230156515,1.6877812314650706e-05
206,-57.59784435058853,1.9671753932941524e-05
207,59.19942090631391,65.8516267757896
208,47.587558366111075,71.5114676088528
209,39.282160548932005,75.31642717671244
210,50.014309027008174,474.7527278619215
211,75.1762508261756,1690.3283084074635
212,52.149078951009734,1501.7340443648766
213,39.52124799923086,131.1638034583802
214,34.417222395497525,72.69218400690062
215,36.95802991130969,69.45960603467302
216,40.78326537281906,65.12514445349545
217,43.953107818499454,54.519177739373724
218,30.242154614110643,27.59693988309658
219,-140.0009771986088,1.6283065910277856e-05
220,-140.00097921030763,1.4101829721127504e-05
221,104.8313102770925,75.04319770779668
222,109.77802271791253,87.05032654930143
223,116.10812597807906,76.35682763164174
224,-105.76321658010602,8.847523718060728e-06
225,-140.001217735073,-710.9479585563802
226,-140.00121627068614,-289.2684008372948
227,-42.64219682902719,1.6575995990547123e-05
228,-48.80861816374432,1.6788872017809292e-05
229,-60.07252100026056,1.6953947058927817e-05
230,-62.710311194132665,1.8870899516991194e-05
231,48.00219631471398,51.58231855989148
232,36.85930794444067,76.046476714752
233,30.89036450081401,84.53064502113124
234,29.515564233885357,113.80454563021576
235,32.79642446118235,668.368647672996
236,29.1933116805702,297.2204348062943
237,23.521501491575705,99.3577070764211
238,22.44509450747076,93.24856288493332
239,21.84067864417456,91.27317284427374
240,21.58673614365783,92.55027000169626
241,21.548442084511386,95.39906349918657
242,21.640060679118132,98.1635656403992
243,21.717202067668858,97.84761550676899
244,21.798645057525242,94.66911714523782
245,23.32471008720913,118.76830501291077
246,24.85732017304969,142.36710243651942
247,26.129624045963112,145.87007486456628
