,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
0,-34.3,-188.06256000000002,-88.2,-182.0,-260.0,-236.9,-2323.0867200000002,-785.2,-1659.06336,-275.0
1,-34.3,-188.96976,-88.2,-182.0,-260.0,-236.9,-2334.2931200000003,-785.2,-1667.06656,-275.0
2,-34.3,-188.96976,-88.2,-182.0,-260.0,-236.9,-2334.2931200000003,-785.2,-1667.06656,-275.0
3,-34.3,-192.68928000000002,-88.2,-182.0,-260.0,-236.9,-2380.2393600000005,-785.2,-1699.87968,-275.0
4,-34.3,-203.57568000000003,-88.2,-182.0,-260.0,-236.9,-2514.7161600000004,-785.2,-1795.9180800000001,-275.0
5,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2876.6828800000008,-785.2,-2054.42144,-275.0
6,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-3034.693120000001,-785.2,-2167.2665600000005,-275.0
7,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2943.9212800000005,-785.2,-2102.44064,-275.0
8,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2921.508480000001,-785.2,-2086.4342400000005,-275.0
9,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2865.4764800000007,-785.2,-2046.4182400000002,-275.0
10,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2797.1174400000004,-785.2,-1997.5987200000002,-275.0
11,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2729.8790400000003,-785.2,-1949.57952,-275.0
12,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2696.2598400000006,-785.2,-1925.56992,-275.0
13,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2661.5200000000004,-785.2,-1900.76,-275.0
14,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2661.5200000000004,-785.2,-1900.76,-275.0
15,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2661.5200000000004,-785.2,-1900.76,-275.0
16,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2696.2598400000006,-785.2,-1925.56992,-275.0
17,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2718.6726400000007,-785.2,-1941.5763200000001,-275.0
18,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2707.4662400000007,-785.2,-1933.57312,-275.0
19,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2685.0534400000006,-785.2,-1917.56672,-275.0
20,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2627.9008000000003,-785.2,-1876.7504000000001,-275.0
21,-34.3,-202.66848000000002,-88.2,-182.0,-260.0,-236.9,-2503.5097600000004,-785.2,-1787.91488,-275.0
22,-34.3,-186.24816,-88.2,-182.0,-260.0,-236.9,-2300.6739200000006,-785.2,-1643.0569600000001,-275.0
23,-34.3,-170.73504000000003,-88.2,-182.0,-260.0,-236.9,-2109.0444800000005,-785.2,-1506.20224,-275.0
24,-34.3,-166.10832000000002,-88.2,-182.0,-260.0,-236.9,-2051.8918400000002,-785.2,-1465.3859200000002,-275.0
25,-34.3,-168.01344,-88.2,-182.0,-260.0,-236.9,-2075.4252800000004,-785.2,-1482.19264,-275.0
26,-34.3,-169.82784,-88.2,-182.0,-260.0,-236.9,-2097.8380800000004,-785.2,-1498.19904,-275.0
27,-34.3,-173.45664000000002,-88.2,-182.0,-260.0,-236.9,-2142.6636800000006,-785.2,-1530.21184,-275.0
28,-34.3,-183.52656000000002,-88.2,-182.0,-260.0,-236.9,-2267.0547200000005,-785.2,-1619.04736,-275.0
29,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2605.4880000000003,-785.2,-1860.7440000000001,-275.0
30,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2752.2918400000003,-785.2,-1965.58592,-275.0
31,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2696.2598400000006,-785.2,-1925.56992,-275.0
