,PL battery large electricity,PL biogas,PL biogas substrate,PL biomass wood,PL electricity,PL hard coal,PL hydro PSH electricity,PL lignite,PL natural gas,PL other fuel
0,2.838796930859644e-06,-8.262759365607053e-10,-5.738911568187177e-10,-1.6996182239381596e-09,-3.1389065995313103e-06,-1.6378180589526892e-08,-1.798058051550021e-07,-4.4919943320564926e-09,-7.835751603124663e-09,4.853291102335788e-10
1,2.8387075658997674e-06,-8.329834599862806e-10,-5.784954737464432e-10,-1.6996182239381596e-09,-3.138557524096086e-06,-1.6460035112686455e-08,-1.799081438137947e-07,-4.4929038267582655e-09,-7.885773811722174e-09,4.853291102335788e-10
2,2.8387086246084436e-06,-8.376446203328669e-10,-5.8179239204037e-10,-1.6996182239381596e-09,-3.1385380978576904e-06,-1.651096681598574e-08,-1.7991459012145134e-07,-4.4919943320564926e-09,-7.920334610389546e-09,4.853291102335788e-10
3,2.8387060382328855e-06,-8.567440090700984e-10,-5.949800652160775e-10,-1.6996182239381596e-09,-3.1385388723492724e-06,-1.6736521502025425e-08,-1.7991435627156358e-07,-4.4919943320564926e-09,-8.064489520620555e-09,4.853291102335788e-10
4,2.8386900794430403e-06,-8.992628863779828e-10,-6.244817996048369e-10,-1.6996182239381596e-09,-3.1385219472213066e-06,-1.723492459859699e-08,-1.799170027501775e-07,-4.4919943320564926e-09,-8.385086402995512e-09,4.853291102335788e-10
5,2.838653870185226e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-3.1384879832785373e-06,-1.856096787378192e-08,-1.7992177963744998e-07,-4.4919943320564926e-09,-9.238647180609405e-09,4.853291102335788e-10
6,-7.71408443256405e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-1.3001826841597677e-05,-1.916669134516269e-08,1.1942249562896148e-05,-5.2159521146677434e-09,-9.626091923564672e-09,4.853291102335788e-10
7,-7.714000531677812e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-1.30032879736358e-05,-1.8948412616737187e-08,1.1942929273293815e-05,-8.882125257514417e-09,-9.486029739491642e-09,4.853291102335788e-10
8,-7.714131953662218e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-1.3001662686448008e-05,-1.88774720299989e-08,1.1942199956523871e-05,-5.162291927263141e-09,-9.440555004402995e-09,4.853291102335788e-10
9,2.8385799453189975e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,-3.1383817287178317e-06,-1.871376298367977e-08,-1.7994003272287075e-07,-4.4919943320564926e-09,-9.335053618997335e-09,4.853291102335788e-10
10,3.7266705987804016e-06,-9.532641342957504e-10,-6.621121428906918e-10,-1.6996182239381596e-09,9.866819937087712e-06,-1.8515493138693273e-08,1.0161547834286466e-06,-4.4919943320564926e-09,-9.207724360749125e-09,4.853291102335788e-10
