name,color,order,aggregation,co2_emissions
DSR reduction,#1b1c1e,191,DSR,
battery large charger,#458aff,142,battery large,
battery large power,#458aff,141,battery large,
battery large storage,#458aff,140,battery large,
biogas CHP,#816d66,82,biomass and biogas CHP,
biogas production,#816d66,81,biomass and biogas supply,
biogas substrate supply,#816d66,80,biomass and biogas supply,
biomass agriculture CHP,#ab9d99,71,biomass and biogas CHP,
biomass agriculture supply,#ab9d99,70,biomass and biogas supply,
biomass wood CHP,#ab9d99,62,biomass and biogas CHP,
biomass wood power,#ab9d99,61,biomass power,
biomass wood supply,#ab9d99,60,biomass and biogas supply,
electricity export,#767778,183,electricity import or export,
electricity final use,#b6b6b7,1,electricity final use,
electricity import,#767778,181,electricity import or export,
hard coal CHP,#b5c6cf,13,hard coal power,
hard coal power,#b5c6cf,11,hard coal power,
hard coal supply,#b5c6cf,10,hard coal supply,0.34
hydro PSH power,#82b1ff,131,hydro PSH,
hydro PSH pump,#82b1ff,132,hydro PSH,
hydro PSH storage,#82b1ff,130,hydro PSH,
hydro ROR,#2979ff,121,hydro ROR,
lignite power,#72a0b7,21,lignite power,
lignite supply,#72a0b7,20,lignite supply,0.4
natural gas CHP,#4b7689,33,natural gas CHP,
natural gas power,#4b7689,31,natural gas power,
natural gas supply,#4b7689,30,natural gas supply,0.2
nuclear power,#d6c0bd,51,nuclear power,
other CHP,#263b46,41,other CHP,
other fuel supply,#263b46,40,other fuel supply,0.32
solar PV ground,#f3b3fd,111,solar PV ground,
solar PV roof,#e040fb,112,solar PV roof,
wind offshore,#b9f6ca,102,wind offshore,
wind onshore,#69f0ae,100,wind onshore,
