,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biogas production public 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL biomass wood power public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL hard coal power SC public 2023,PL hard coal power old public 2023,PL hydro PSH power 2023,PL hydro PSH pump 2023,PL lignite power SC public 2023,PL lignite power old public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
0,-34.3,-177.44832,-88.2,-428.25931707234446,-182.0,-260.0,-320.89109793927776,-236.9,-2191.97184,-1625.8810667606567,-2825.000000993318,-129.62358699888895,-173.4859644425107,-1710.0,-1688.6211607748464,-785.2,-1565.42592,-275.0
1,-34.3,-179.172,-88.2,-432.46341463331333,-182.0,-260.0,-320.2362439417258,-236.9,-2213.264,-1596.7196682312995,-2825.000000993318,-126.44057433640448,-176.4311770007803,-1710.0,-1684.179225997322,-785.2,-1580.632,-275.0
2,-34.3,-180.35136,-88.2,-435.3399024381867,-182.0,-260.0,-320.05841238188407,-236.9,-2227.83232,-1591.416036884883,-2825.000000993318,-123.15801366710853,-176.17962603383563,-1710.0,-1683.1014061555227,-785.2,-1591.03616,-275.0
3,-34.3,-185.25024,-88.2,-447.2883902430456,-182.0,-260.0,-320.0187737493745,-236.9,-2288.34688,-1590.8056305934329,-2825.000000993318,-119.17473109290697,-175.34290689371934,-1710.0,-1682.988150483054,-785.2,-1634.25344,-275.0
4,-34.3,-196.13664,-88.2,-473.8405853649544,-182.0,-260.0,-319.9355606306873,-236.9,-2422.82368,-1588.2182510420218,-2825.000000993318,-114.85590643479041,-175.195840823319,-1710.0,-1682.4406591174168,-785.2,-1730.29184,-275.0
5,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-319.8102551430225,-236.9,-2781.42848,-1584.5260985788022,-2825.000000993318,-113.13989146359954,-175.87622983054405,-1710.0,-1681.583293685193,-785.2,-1986.39424,-275.0
6,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-321.3485863691575,-236.9,-2943.92128,-1675.6964207914505,-2825.000000993318,-116.5969381898295,-164.5173867845132,-1710.0,-1693.0491130450046,-785.2,-2102.44064,-275.0
7,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-325.989853161256,-236.9,-2885.648,-2403.1519128706873,-2825.000000993318,-130.00850282583215,-135.799553950149,-1710.0,-1729.3597825743873,-785.2,-2060.824,-275.0
8,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-324.3431902058705,-236.9,-2866.59712,-2030.9152891466167,-2825.000000993318,-127.47257559297694,-144.9587591242482,-1710.0,-1714.7132607299914,-785.2,-2047.21856,-275.0
9,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-321.0674898705378,-236.9,-2821.77152,-1629.1651887435135,-2825.000000993318,-121.76962042881613,-168.7091046688967,-1710.0,-1689.3454433123388,-785.2,-2015.20576,-275.0
10,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-320.3002296342878,-236.9,-2769.10144,-1585.9571015770068,-2825.000000993318,-118.57678374412134,-175.37576837254593,-1710.0,-1683.8199193765097,-785.2,-1977.59072,-275.0
11,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-320.45561532999807,-236.9,-2719.79328,-1591.900360957516,-2825.000000993318,-115.69863941744153,-173.84962486570737,-1710.0,-1684.8109206334414,-785.2,-1942.37664,-275.0
12,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-320.9602954166883,-236.9,-2695.1392,-1619.4784220203953,-2825.000000993318,-118.21860242743989,-170.24742812078955,-1710.0,-1688.4015632439803,-785.2,-1924.7696,-275.0
13,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-323.92915798855955,-236.9,-2677.20896,-1938.646505796459,-2825.000000993318,-122.26149347171122,-149.72673761552613,-1710.0,-1710.5896958646656,-785.2,-1911.96448,-275.0
14,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-325.99759109799874,-236.9,-2687.29472,-2383.2268105869257,-2825.000000993318,-129.87862859193083,-137.25352491881935,-1710.0,-1729.8971960417605,-785.2,-1919.16736,-275.0
15,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-326.76460586145765,-236.9,-2701.86304,-2565.3779784841727,-2825.000000993318,-131.1293209879524,-133.22515941539388,-1710.0,-1736.2771203558286,-785.2,-1929.57152,-275.0
16,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-327.57501138095535,-236.9,-2747.80928,-2734.91207707746,-2825.000000993318,-131.8390070325179,-129.66647886467214,-1710.0,-1741.9259370115958,-785.2,-1962.38464,-275.0
17,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-329.20073036154344,-236.9,-2783.66976,-2956.8961036948567,-2825.000000993318,-139.57819559249816,-123.23046320740382,-1710.0,-1760.386737483181,-785.2,-1987.99488,-275.0
18,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-331.93311909690686,-236.9,-2791.51424,-3152.8511385327774,-2825.000000993318,-164.05874229941895,-113.09593916256746,-1710.0,-1816.8788117394881,-785.2,-1993.59712,-275.0
19,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-333.56048930453284,-236.9,-2778.06656,-3384.173433203892,-2825.0000009933183,-206.5455534794551,-105.49775010895699,-1710.0,-1909.515250121127,-785.2,-1983.99328,-275.0
20,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-331.0660209163138,-236.9,-2737.72352,-3086.098004043879,-2825.000000993318,-185.88444182641547,-116.74439127072884,-1710.0,-1775.9888345055704,-785.2,-1955.18176,-275.0
21,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-329.35571276013576,-236.9,-2618.93568,-2926.395630656898,-2825.000000993318,-172.36298725445457,-123.3221146278759,-1710.0,-1760.3852615788155,-785.2,-1870.34784,-275.0
22,-34.3,-196.22736,-88.2,-474.06185365763696,-182.0,-260.0,-328.0850459427288,-236.9,-2423.94432,-2778.3367708163855,-2825.000000993318,-166.35207765913987,-128.20956903087557,-1710.0,-1746.204555238544,-785.2,-1731.09216,-275.0
23,-34.3,-180.89568,-88.2,-436.6675121942822,-182.0,-260.0,-327.286302289339,-236.9,-2234.55616,-2668.247434885178,-2825.000000993318,-161.07913691593436,-131.1153330309434,-1710.0,-1739.125396313763,-785.2,-1595.83808,-275.0
24,-34.3,-161.9352,-88.2,-390.4224390236245,-182.0,-260.0,-326.82763166398485,-236.9,-2000.3424,-2594.513804826793,-2825.000000993318,-164.57978635425667,-132.5760004320641,-1710.0,-1735.6391159354976,-785.2,-1428.5712,-275.0
25,-34.3,-163.93104,-88.2,-395.2903414626411,-182.0,-260.0,-326.2767023808696,-236.9,-2024.99648,-2496.9075375991424,-2825.000000993318,-167.51641262143497,-134.61926303075495,-1710.0,-1731.6879793813077,-785.2,-1446.17824,-275.0
26,-34.3,-165.01968,-88.2,-397.94556097483195,-182.0,-260.0,-326.0286976043608,-236.9,-2038.44416,-2452.700574906682,-2825.000000993318,-170.54796910622449,-135.1648817574503,-1710.0,-1729.8291630472024,-785.2,-1455.78208,-275.0
27,-34.3,-169.37424,-88.2,-408.5664390235954,-182.0,-260.0,-325.8853544602265,-236.9,-2092.23488,-2425.5218013832737,-2825.000000993318,-167.38051685906794,-135.25898940600922,-1710.0,-1728.77374378613,-785.2,-1494.19744,-275.0
28,-34.3,-179.53488,-88.2,-433.3484878040436,-182.0,-260.0,-325.8647662629857,-236.9,-2217.74656,-2422.3697206372703,-2825.000000993318,-162.60058552076805,-134.80008851271347,-1710.0,-1728.71432565322,-785.2,-1583.83328,-275.0
29,-34.3,-206.56944,-88.2,-499.2864390234502,-182.0,-260.0,-325.9007506973579,-236.9,-2551.69728,-2429.1695112913076,-2825.000000993318,-170.3616439398711,-134.3254040627959,-1710.0,-1729.1764543402574,-785.2,-1822.32864,-275.0
30,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-327.0315092435255,-236.9,-2698.50112,-2682.6838321295254,-2825.000000993318,-188.7933134860311,-128.43637430867588,-1710.0,-1736.324025054528,-785.2,-1927.17056,-275.0
31,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-328.29215639945636,-236.9,-2649.19296,-2869.318670664207,-2825.000000993318,-204.4460563719381,-122.56674311299447,-1710.0,-1749.4734891387209,-785.2,-1891.95648,-275.0
32,-34.3,-210.0,-88.2,-507.653658535632,-182.0,-260.0,-328.35519831550045,-236.9,-2623.41824,-2851.7493102411177,-2825.000000993318,-203.0644495912844,-122.42036485610214,-1710.0,-1749.5219157428003,-785.2,-1873.54912,-275.0
33,-34.3,-209.1096,-88.2,-505.4819512185623,-182.0,-260.0,-328.0221670308621,-236.9,-2583.0752,-2785.636367445832,-2825.000000993318,-191.38561697246166,-123.76883152228085,-1710.0,-1745.1674289628945,-785.2,-1844.7376,-275.0
34,-34.3,-205.0272,-88.2,-495.5248780478466,-182.0,-260.0,-327.5466132767977,-236.9,-2532.6464,-2693.9550382018797,-2825.000000993318,-188.9966260572502,-125.49626329256887,-1710.0,-1741.0690388656014,-785.2,-1808.7232,-275.0
35,-34.3,-201.48912,-88.2,-486.89541463322627,-182.0,-260.0,-327.27944415689643,-236.9,-2488.94144,-2634.2126702899136,-2825.000000993318,-184.70533756486543,-126.19130276151148,-1710.0,-1739.1061254802644,-785.2,-1777.51072,-275.0
36,-34.3,-199.76544,-88.2,-482.6913170722574,-182.0,-260.0,-326.7953341215717,-236.9,-2467.64928,-2533.8914679846107,-2825.000000993318,-183.75303903703218,-127.9380076579307,-1710.0,-1735.5609858702896,-785.2,-1762.30464,-275.0
37,-34.3,-198.40464,-88.2,-479.3722926820188,-182.0,-260.0,-327.06900062218693,-236.9,-2450.83968,-2591.327713484255,-2825.000000993318,-188.77158613181257,-125.9069921328499,-1710.0,-1737.4978174759967,-785.2,-1750.29984,-275.0
38,-34.3,-199.40256,-88.2,-481.806243901527,-182.0,-260.0,-326.4478605490506,-236.9,-2463.16672,-2473.1773559294697,-2825.000000993318,-174.18159225206836,-128.1115528233034,-1710.0,-1733.0718954944682,-785.2,-1759.10336,-275.0
39,-34.3,-200.40048,-88.2,-484.24019512103536,-182.0,-260.0,-326.61904989717476,-236.9,-2475.49376,-2524.154702334455,-2825.000000993318,-175.7112015731936,-126.36481531434373,-1710.0,-1734.6658550611219,-785.2,-1767.90688,-275.0
40,-34.3,-204.02928,-88.2,-493.09092682833824,-182.0,-260.0,-327.08466945775353,-236.9,-2520.31936,-2627.804381544954,-2825.000000993318,-183.56042094905786,-123.38121042058144,-1710.0,-1737.9768707347584,-785.2,-1799.91968,-275.0
41,-34.3,-206.66016,-88.2,-499.5077073161329,-182.0,-260.0,-327.9695857555298,-236.9,-2552.81792,-2775.88315884251,-2825.000000993318,-181.82023294527133,-119.29841926711305,-1710.0,-1744.37993565767,-785.2,-1823.12896,-275.0
