,PL biogas CHP industrial 2023,PL biogas CHP public 2023,PL biogas production industrial 2023,PL biomass wood CHP industrial 2023,PL biomass wood CHP public 2023,PL hard coal CHP industrial 2023,PL hard coal CHP public 2023,PL natural gas CHP old industrial 2023,PL natural gas CHP old public 2023,PL other CHP industrial 2023
0,-34.3,-177.44832,-88.2,-182.0,-260.0,-236.9,-2191.97184,-785.2,-1565.42592,-275.0
1,-34.3,-179.17200000000003,-88.2,-182.0,-260.0,-236.9,-2213.2640000000006,-785.2,-1580.632,-275.0
2,-34.3,-180.35136,-88.2,-182.0,-260.0,-236.9,-2227.8323200000004,-785.2,-1591.03616,-275.0
3,-34.3,-185.25024000000002,-88.2,-182.0,-260.0,-236.9,-2288.3468800000005,-785.2,-1634.2534400000002,-275.0
4,-34.3,-196.13664,-88.2,-182.0,-260.0,-236.9,-2422.8236800000004,-785.2,-1730.29184,-275.0
5,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2781.4284800000005,-785.2,-1986.3942400000003,-275.0
6,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2943.9212800000005,-785.2,-2102.44064,-275.0
7,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2885.648000000001,-785.2,-2060.8240000000005,-275.0
8,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2866.597120000001,-785.2,-2047.2185600000003,-275.0
9,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2821.7715200000007,-785.2,-2015.20576,-275.0
10,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2769.1014400000004,-785.2,-1977.5907200000001,-275.0
11,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2719.7932800000003,-785.2,-1942.37664,-275.0
12,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2695.1392,-785.2,-1924.7695999999999,-275.0
13,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2677.20896,-785.2,-1911.9644799999996,-275.0
14,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2687.2947200000003,-785.2,-1919.1673600000001,-275.0
15,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2701.8630400000006,-785.2,-1929.57152,-275.0
16,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2747.8092800000004,-785.2,-1962.38464,-275.0
17,-34.3,-210.0,-88.2,-182.0,-260.0,-236.9,-2783.6697600000007,-785.2,-1987.99488,-275.0
