,PL battery large storage 2023,PL hydro PSH storage 2023
0,-31.468995115477643,-1.798058051550021e-07
1,-56.242882435008106,-1.799081438137947e-07
2,-56.865123704655865,-1.7991459012145134e-07
3,-58.42231322625413,-1.7991435627156358e-07
4,-64.77571719291608,-1.799170027501775e-07
5,-78.71240211505895,-1.7992177963744998e-07
6,149.99999228591557,1.1164789339036764e-05
7,149.99999228599947,1.1165473167475517e-05
8,149.99999228586805,1.116473940829054e-05
9,-98.2069515654472,-1.7994003272287075e-07
10,-139.9999962733294,-359.38167103140773
11,-139.99999627332866,-291.9744328934294
12,-118.14191521751928,-1.8003984277357515e-07
13,4.0723704809231915e-05,1.1164433285415607e-05
14,1.957311489006984e-05,1.116540007244538e-05
15,1.379250056334283e-05,1.1165507483150601e-05
16,1.0800470368087841e-05,1.1165648698061243e-05
17,96.07393073976324,428.561500499795
18,67.75278482341905,601.6979310656219
19,58.10591594208488,610.8653377645936
20,54.05842221036836,585.8223888029452
21,51.59709148755804,458.0758729360051
22,8.882761689779975e-06,1.117235479386789e-05
23,8.875875672984088e-06,1.1165810573562365e-05
24,8.875848236154261e-06,1.1165781165402267e-05
25,8.875851814764272e-06,1.1165777732917177e-05
26,8.875893939422526e-06,1.1165807949070812e-05
27,8.875946892395478e-06,1.1165845494091507e-05
28,8.87601106379604e-06,1.1165892120112422e-05
29,8.876083095464755e-06,1.1165942512156421e-05
30,8.876330191600462e-06,1.1166155078216986e-05
31,53.83334511423274,246.49739882007796
32,23.524441651235918,32.139208715610465
33,8.876863209316853e-06,1.1166440723978208e-05
34,8.876913572565092e-06,1.1166355015505933e-05
35,8.877103834308464e-06,1.1166396264136963e-05
36,8.877291033981762e-06,1.1166428498701698e-05
37,8.877573329526991e-06,1.1166545029549875e-05
38,8.8777683258557e-06,1.1166571884480047e-05
39,8.878066109571788e-06,1.1166689215780104e-05
40,8.878407791029276e-06,1.1166839134215084e-05
41,8.879513246052206e-06,1.1167700222308437e-05
42,93.77716055521525,707.5470971511256
43,101.27656785334312,308.69906521539025
44,1.0807480454842191e-05,1.2857755923964011e-05
45,1.3814569517807168e-05,1.551188697444556e-05
46,1.9663571409829993e-05,2.0616477702779887e-05
47,4.1806713281615764e-05,3.794620158544806e-05
48,-7.5192323622145325e-06,8.426039264029491e-07
49,1.38414847162452e-07,1.8119916054349367e-06
50,8.389947735382635e-06,4.255606950432221e-06
51,2.10520375053998e-06,2.365070853439281e-06
52,-43.89726740232522,-18.2318298833619
53,-60.24521655261601,-287.55994088810934
54,-53.38077610930565,-427.66104477663384
55,-41.76610228914118,-123.09726644461394
56,-39.841315992197124,-197.78344655996102
57,-40.28441814893455,-484.12345479864996
58,-42.27729282417115,-863.7927689257723
59,-44.945017855204746,-895.6964722986188
60,-46.027353321487766,-893.0942806255041
61,-42.267190479879226,-564.6809807386373
62,-45.819846590330236,-432.7949902215917
63,-50.976695383396326,-213.77880460614986
64,-48.27130684010305,-44.80881703956482
65,149.99985743588778,989.7128063370462
66,149.99999921419976,1789.9999992947035
67,149.99999904326916,1789.9999991406787
68,149.9998573945457,877.3911852780147
